time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,3000,29680,47250,7500,1
63938,2,1,5000,29630,47260,719,1
63938,3,1,500,27350,0,0,0
63938,4,1,365,27230,0,0,0
63938,5,1,500,27140,0,0,0
84500,1,1,1173,33610,47250,7500,1
84500,2,1,3000,29680,47260,719,1
84500,3,1,5000,29630,0,0,0
84500,4,1,500,27350,0,0,0
84500,5,1,365,27230,0,0,0
84501,1,2,2209,33610,47250,7500,1
84502,1,3,15209,33610,47250,7500,1
84502,1,4,115209,33610,47250,7500,1
84502,1,4,115209,33610,33610,6150,1
84502,2,1,3000,29680,47250,7500,1
84502,3,1,5000,29630,47260,719,1
84503,1,5,215209,33610,33610,6150,1
84504,1,6,315209,33610,33610,6150,1
84504,1,7,415209,33610,33610,6150,1
84504,1,8,515209,33610,33610,6150,1
84504,1,10,715209,33610,33610,6150,1
84504,1,11,815209,33610,33610,6150,1
84505,1,12,915209,33610,33610,6150,1
84505,1,13,930085,33610,33610,6150,1
84506,2,1,3085,31500,47250,7500,1
84506,3,1,3000,29680,47260,719,1
84506,4,1,5000,29630,0,0,0
84506,5,1,500,27350,0,0,0
84507,1,14,930265,33610,33610,6150,1
84511,1,15,931265,33610,33610,6150,1
84515,1,15,931265,33610,33610,6400,2
84516,1,16,940157,33610,33610,6400,2
84516,1,17,954978,33610,33610,6400,2
84532,1,18,955907,33610,33610,6400,2
84548,1,19,957389,33610,33610,6400,2
84556,1,20,959389,33610,33610,6400,2
84602,3,1,300,30410,47260,719,1
84602,4,1,3000,29680,0,0,0
84602,5,1,5000,29630,0,0,0
84604,1,21,959789,33610,33610,6400,2
84606,1,22,965704,33610,33610,6400,2
84626,1,23,966944,33610,33610,6400,2
84631,1,24,967244,33610,33610,6400,2
84634,1,24,967244,33610,33610,7172,3
84649,1,25,1022652,33610,33610,7172,3
84715,1,24,922652,33610,33610,7172,3
84715,1,23,822652,33610,33610,7172,3
84715,1,22,722652,33610,33610,7172,3
84715,1,17,222652,33610,33610,7172,3
84715,1,16,122652,33610,33610,7172,3
84722,3,1,200,31210,47260,719,1
84722,4,1,300,30410,0,0,0
84722,5,1,3000,29680,0,0,0
84739,1,17,122852,33610,33610,7172,3
84741,2,1,200,31610,47250,7500,1
84741,3,1,3085,31500,47260,719,1
84741,4,1,200,31210,0,0,0
84741,5,1,300,30410,0,0,0
84742,1,17,122852,33610,33610,8272,4
84744,1,16,122652,33610,33610,8272,4
84749,1,17,124292,33610,33610,8272,4
84752,2,1,200,32010,47250,7500,1
84752,3,1,200,31610,47260,719,1
84752,4,1,3085,31500,0,0,0
84752,5,1,200,31210,0,0,0
84836,1,17,124292,33610,33610,8422,5
85040,1,18,131292,33610,33610,8422,5
85045,2,1,200,33300,47250,7500,1
85045,3,1,200,32010,47260,719,1
85045,4,1,200,31610,0,0,0
85045,5,1,3085,31500,0,0,0
85048,1,19,131792,33610,33610,8422,5
85057,1,19,131792,33610,33610,8735,6
85059,3,1,200,32970,47260,719,1
85059,4,1,200,32010,0,0,0
85059,5,1,200,31610,0,0,0
