time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
104658,1,0,0,0,219480,330,1
104706,1,0,0,0,219480,732,2
104712,1,0,0,0,219480,2441,3
104712,1,0,0,0,219480,2786,4
104713,1,0,0,0,219470,1000,1
104713,2,0,0,0,219480,2786,4
104718,2,0,0,0,219480,5423,5
104719,2,0,0,0,219480,7535,6
104724,2,0,0,0,219480,7841,7
104726,1,1,213,90000,219470,1000,1
104729,1,1,913,110000,219470,1000,1
104729,2,1,213,90000,219480,7841,7
104730,3,1,300,65860,0,0,0
104738,1,1,913,110000,219000,7000,1
104738,2,1,213,90000,219470,1000,1
104738,3,1,300,65860,219480,7841,7
104739,3,1,300,65860,219480,8157,8
104740,3,1,300,65860,219480,9029,9
104742,1,2,20913,110000,219000,7000,1
104743,3,1,300,65860,219480,9129,10
104744,3,1,711,70000,219480,9129,10
104744,4,1,300,65860,0,0,0
104745,3,1,711,70000,219480,9204,11
104746,3,1,711,70000,219480,9690,12
104749,1,3,21820,110000,219000,7000,1
104752,2,2,1971,90000,219470,1000,1
104753,1,2,20907,110000,219000,7000,1
104754,1,2,20907,110000,135000,550,1
104754,2,2,1971,90000,219000,7000,1
104754,3,1,711,70000,219470,1000,1
104754,4,1,300,65860,219480,9690,12
104754,2,2,1971,90000,219000,7387,2
104757,4,1,300,65860,219480,12275,13
104757,2,2,1971,90000,200000,1589,1
104757,3,1,711,70000,219000,7387,2
104757,4,1,300,65860,219470,1000,1
104757,5,0,0,0,219480,12275,13
104759,2,1,300,100000,200000,1589,1
104759,3,2,1971,90000,219000,7387,2
104759,4,1,711,70000,219470,1000,1
104759,5,1,300,65860,219480,12275,13
104759,3,2,1971,90000,219000,387,1
104801,3,2,1971,90000,219000,429,2
104801,5,1,300,65860,219480,17275,14
104804,5,1,300,65860,219480,24627,15
104804,5,1,300,65860,219480,24297,14
104807,4,1,711,70000,219400,2511,1
104807,5,1,300,65860,219470,1000,1
104807,2,1,300,100000,200000,7779,2
104808,3,2,1971,90000,219000,633,3
104808,1,2,20907,110000,135000,603,2
104811,1,3,25407,110000,135000,603,2
104811,2,1,363,109740,200000,7779,2
104811,3,1,300,100000,219000,633,3
104811,4,2,1971,90000,219400,2511,1
104811,5,1,711,70000,219470,1000,1
104812,2,1,363,109740,165000,2732,1
104812,3,1,300,100000,200000,7779,2
104812,4,2,1971,90000,219000,633,3
104812,5,1,711,70000,219400,2511,1
104812,1,4,25507,110000,135000,603,2
104812,4,2,1971,90000,213000,1013,1
104812,5,1,711,70000,219000,633,3
104812,5,2,1659,70000,219000,633,3
104812,4,2,1971,90000,210000,345,1
104812,5,2,1659,70000,213000,1013,1
104816,1,5,25606,110000,135000,603,2
104816,1,5,25606,110000,135000,990,3
104823,5,3,3094,70000,213000,1013,1
104824,1,1,1000,135000,135000,990,3
104824,2,5,25606,110000,165000,2732,1
104824,3,1,363,109740,200000,7779,2
104824,4,1,300,100000,210000,345,1
104824,5,2,1971,90000,213000,1013,1
104825,1,1,1000,120000,120000,4203,1
104825,2,5,25606,110000,135000,990,3
104825,3,1,363,109740,165000,2732,1
104825,4,1,300,100000,200000,7779,2
104825,5,2,1971,90000,210000,345,1
104827,2,1,5000,113000,135000,990,3
104827,3,5,25606,110000,165000,2732,1
104827,4,1,363,109740,200000,7779,2
104827,5,1,300,100000,210000,345,1
104829,2,1,172,115270,135000,990,3
104829,3,1,5000,113000,165000,2732,1
104829,4,5,25606,110000,200000,7779,2
104829,5,1,363,109740,210000,345,1
104831,3,1,5000,113000,145000,1200,1
104831,4,5,25606,110000,165000,2732,1
104831,5,1,363,109740,200000,7779,2
104832,3,1,5000,113000,140000,905,1
104832,4,5,25606,110000,145000,1200,1
104832,5,1,363,109740,165000,2732,1
104836,1,1,172,115270,120000,4203,1
104836,2,1,5000,113000,135000,990,3
104836,3,5,25606,110000,140000,905,1
104836,4,1,363,109740,145000,1200,1
104836,5,1,300,100000,165000,2732,1
104843,1,1,172,115270,120000,30049,2
104844,3,6,25855,110000,140000,905,1
104847,1,1,172,115270,120000,30109,3
104848,5,1,300,100000,165000,3432,2
104850,1,1,172,115270,120000,31698,4
104852,1,1,172,115270,119000,450,1
104852,2,1,5000,113000,120000,31698,4
104852,3,6,25855,110000,135000,990,3
104852,4,1,363,109740,140000,905,1
104852,5,1,300,100000,145000,1200,1
104853,4,1,363,109740,145000,2105,2
104853,5,1,300,100000,165000,4432,3
104854,5,1,300,100000,165000,4577,4
104856,3,7,26155,110000,135000,990,3
104902,4,1,363,109740,145000,8805,3
104902,3,7,26155,110000,135000,1509,4
104906,5,1,300,100000,165000,4877,5
104908,1,1,3551,119000,119000,450,1
104908,2,1,172,115270,120000,31698,4
104908,3,1,5000,113000,135000,1509,4
104908,4,7,26155,110000,145000,8805,3
104908,5,1,363,109740,165000,4877,5
104909,1,1,3551,119000,119000,460,2
104917,3,1,5000,113000,135000,6509,5
104918,2,1,172,115270,120000,32578,5
104926,4,8,26255,110000,145000,8805,3
104927,4,8,26255,110000,138000,1200,1
104927,5,1,363,109740,145000,7605,2
104931,2,1,172,115270,120000,31698,4
104935,4,7,25348,110000,138000,1200,1
104937,2,1,172,115270,120000,31864,5
104938,4,8,26261,110000,138000,1200,1
104940,5,1,363,109740,145000,7921,3
104944,1,1,3551,119000,119000,2049,3
104944,2,1,172,115270,120000,30275,4
104944,4,8,26261,110000,138000,3900,2
104950,1,2,4389,119000,119000,2049,3
104957,5,1,363,109740,145000,8921,4
105000,4,9,26332,110000,138000,3900,2
105005,1,3,4684,119000,119000,2049,3
105007,1,4,4735,119000,119000,2049,3
105012,4,10,26388,110000,138000,3900,2
105015,3,1,5000,113000,135000,6641,6
105017,1,3,4684,119000,119000,2049,3
105017,1,4,9184,119000,119000,2049,3
105017,4,9,21888,110000,138000,3900,2
105023,2,1,172,115270,120000,30457,5
105024,1,4,9184,119000,119000,2128,4
105031,3,1,5000,113000,134000,1480,1
105031,4,9,21888,110000,135000,6641,6
105031,5,1,363,109740,138000,3900,2
105032,2,1,172,114770,120000,30457,5
105037,2,1,172,114770,120000,32838,6
105038,1,4,9184,119000,119000,2515,5
105038,4,9,21888,110000,135000,6254,5
105040,1,5,9384,119000,119000,2515,5
105049,1,6,9457,119000,119000,2515,5
105051,3,1,5000,113000,134000,1690,2
105053,5,1,3000,109800,138000,3900,2
105056,1,6,9457,119000,119000,12515,6
105102,3,1,5000,113000,125000,565,1
105102,4,9,21888,110000,134000,1690,2
105102,5,1,3000,109800,135000,6254,5
105110,4,9,21888,110000,134000,1480,1
105112,1,6,9457,119000,119000,13515,7
105116,2,1,172,114770,120000,32978,7
105121,1,7,14457,119000,119000,13515,7
105121,3,9,21888,110000,125000,565,1
105121,4,1,3000,109800,134000,1480,1
105121,5,2,543,109740,135000,6254,5
105122,4,1,3000,109800,134000,2480,2
105126,2,1,172,114770,119300,300,1
105126,3,9,21888,110000,120000,32978,7
105126,4,1,3000,109800,125000,565,1
105126,5,2,543,109740,134000,2480,2
105126,1,7,14457,119000,119000,15515,8
105129,5,1,180,109740,134000,2480,2
105131,3,10,22388,110000,120000,32978,7
105134,1,7,14457,119000,119000,15699,9
105135,3,10,22388,110000,120000,33078,8
105138,3,11,22818,110000,120000,33078,8
105143,1,7,14457,119000,119000,15881,10
105143,3,11,22818,110000,120000,32896,7
105143,1,6,13619,119000,119000,15881,10
105145,5,1,180,109740,134000,3228,3
105148,4,1,3000,109800,125000,665,2
105148,3,11,22818,110000,119900,1000,1
105148,4,1,3000,109800,120000,32896,7
105148,5,1,180,109740,125000,665,2
105153,1,6,13619,119000,119000,16258,11
105157,1,6,13619,119000,119000,16345,12
105158,1,6,13619,119000,119000,16945,13
105159,3,12,23725,110000,119900,1000,1
105159,1,7,13669,119000,119000,16945,13
105203,1,7,13669,119000,119000,17945,14
105205,1,7,13669,119000,119000,19445,15
105205,2,1,172,114770,119300,400,2
105205,4,1,3000,109800,120000,33776,8
105210,1,7,13669,119000,119000,21445,16
105211,5,1,180,109740,125000,2665,3
105218,1,8,23669,119000,119000,21445,16
105229,1,7,23619,119000,119000,21445,16
105233,1,8,24169,119000,119000,21445,16
105235,4,1,3000,109800,120000,34119,9
105255,3,13,26225,110000,119900,1000,1
105256,1,9,24587,119000,119000,21445,16
105257,1,9,24587,119000,119000,21966,17
105313,1,9,24587,119000,119000,23731,18
105315,1,9,24587,119000,119000,23831,19
105317,3,12,25795,110000,119900,1000,1
105331,3,13,26145,110000,119900,1000,1
105343,1,9,24587,119000,119000,23940,20
105344,1,9,24587,119000,119000,25950,21
105346,1,8,24292,119000,119000,25950,21
105348,1,8,24292,119000,119000,25563,20
105350,1,9,26292,119000,119000,25563,20
105356,1,10,26367,119000,119000,25563,20
105356,1,11,26767,119000,119000,25563,20
105359,1,11,26767,119000,119000,25042,19
105403,3,12,25232,110000,119900,1000,1
105407,4,1,3000,109800,120000,34435,10
105410,1,11,26767,119000,119000,25134,20
105412,1,11,26767,119000,119000,24950,19
105414,1,11,26767,119000,119000,25050,20
105417,4,1,3000,109800,120000,34375,9
105421,1,12,26934,119000,119000,25050,20
105426,5,1,180,109740,125000,2803,4
105428,1,12,26934,119000,119000,23040,19
105429,1,13,27770,119000,119000,23040,19
105431,1,13,27770,119000,119000,32377,20
105438,1,13,27770,119000,119000,32437,21
105442,5,1,180,109740,125000,5584,5
105443,1,13,27770,119000,119000,32958,22
105452,1,14,28570,119000,119000,32958,22
105454,4,1,3000,109800,120000,34032,8
105457,3,13,25413,110000,119900,1000,1
105504,1,15,28620,119000,119000,32958,22
105504,2,1,16732,118000,119300,400,2
105504,3,1,172,114770,119900,1000,1
105504,4,13,25413,110000,120000,34032,8
105504,5,1,3000,109800,125000,5584,5
105513,5,1,3000,109800,121000,1000,1
105514,1,15,28620,119000,119000,33301,23
105515,4,1,174,114000,120000,34032,8
105515,5,13,25413,110000,121000,1000,1
105517,1,15,28620,119000,119000,33467,24
105529,1,14,24120,119000,119000,33467,24
105529,5,14,29913,110000,121000,1000,1
105534,1,15,24620,119000,119000,33467,24
105558,1,16,25620,119000,119000,33467,24
105605,1,15,24784,119000,119000,33467,24
105614,1,15,24784,119000,119000,37237,25
105617,3,1,171,116000,119900,1000,1
105617,4,1,172,114770,120000,34032,8
105617,5,1,174,114000,121000,1000,1
105623,1,16,25595,119000,119000,37237,25
105625,1,17,25648,119000,119000,37237,25
105626,1,17,25648,119000,119000,37421,26
105627,1,17,25648,119000,119000,40321,27
105649,1,17,25648,119000,119000,39978,26
105651,1,16,25575,119000,119000,39978,26
105715,4,1,172,114770,120000,33716,7
105718,1,15,25522,119000,119000,39978,26
105723,1,16,25698,119000,119000,39978,26
105724,1,16,25698,119000,119000,40227,27
105724,4,1,172,114770,120000,33777,8
105727,4,1,174,114000,120000,33777,8
105727,5,13,29613,110000,121000,1000,1
105736,1,16,25698,119000,119000,41727,28
105742,4,1,171,115770,120000,33777,8
105742,5,1,174,114000,121000,1000,1
105745,1,17,25818,119000,119000,41727,28
105751,3,1,171,116000,119500,940,1
105751,4,1,171,115770,119900,1000,1
105751,5,1,174,114000,120000,33777,8
105803,1,16,22267,119000,119000,41727,28
105806,1,16,22267,119000,119000,45930,29
105806,5,1,174,114000,120000,29574,7
105807,1,16,22267,119000,119000,46196,30
105816,1,15,21717,119000,119000,46196,30
105825,1,15,21717,119000,119000,46379,31
105827,1,15,21717,119000,119000,48379,32
105835,1,15,21717,119000,119000,63682,33
105853,2,1,171,116000,119300,400,2
105853,3,1,171,115770,119500,940,1
105853,4,1,174,114000,119900,1000,1
105853,5,12,29263,110000,120000,29574,7
105853,2,2,571,116000,119300,400,2
105853,1,15,21717,119000,119000,63848,34
105853,5,12,29263,110000,120000,29408,6
105858,1,15,21717,119000,119000,64138,35
105902,1,15,21717,119000,119000,64338,36
105919,1,15,21717,119000,119000,69338,37
105928,1,15,21717,119000,119000,72119,38
105953,1,15,21717,119000,119000,74231,39
110008,1,16,21817,119000,119000,74231,39
110010,1,16,21817,119000,119000,75131,40
110016,1,16,21817,118990,118990,24532,10
110016,2,2,571,116000,119000,50599,30
110016,3,1,171,115770,119300,400,2
110016,4,1,174,114000,119500,940,1
110016,5,12,29263,110000,119900,1000,1
110017,5,1,100,112000,119900,1000,1
110026,1,16,21817,118990,118990,24781,11
110026,2,2,571,116000,119000,50350,29
110033,1,15,21650,118980,118980,21751,9
110033,2,2,571,116000,118990,3030,2
110033,3,1,171,115770,119000,50350,29
110033,4,1,174,114000,119300,400,2
110033,5,1,100,112000,119500,940,1
110033,1,15,21650,118980,118980,24651,10
110033,3,1,171,115770,119000,47450,28
110035,1,14,21530,118980,118980,24651,10
110035,3,1,171,115770,119000,37450,27
110049,1,13,21354,118980,118980,24651,10
110049,1,13,21354,118970,118970,22420,9
110049,2,2,571,116000,118980,5012,2
110049,3,1,171,115770,118990,249,1
110049,4,1,174,114000,119000,37450,27
110049,5,1,100,112000,119300,400,2
110052,1,12,16354,118900,118900,19639,8
110052,2,2,571,116000,118970,2781,1
110052,3,1,171,115770,118980,5012,2
110052,4,1,174,114000,118990,249,1
110052,5,1,100,112000,119000,37450,27
110053,2,2,571,116000,118970,4893,2
110053,3,1,171,115770,118980,2900,1
110100,1,13,19905,118970,118970,24532,10
110100,2,2,571,116000,118980,2900,1
110100,3,1,171,115770,118990,249,1
110100,4,1,174,114000,119000,37450,27
110100,5,1,100,112000,119300,400,2
110102,1,12,19805,118970,118970,24532,10
110105,1,12,19805,118900,118900,28976,9
110105,2,2,571,116000,118970,4893,2
110105,3,1,171,115770,118980,2900,1
110105,4,1,174,114000,118990,249,1
110105,5,1,100,112000,119000,28113,26
110111,1,11,16254,118900,118900,28976,9
110112,1,10,14254,118000,118000,15239,5
110112,2,2,571,116000,118490,900,1
110112,3,1,171,115770,118900,12837,3
110112,4,1,174,114000,118970,4893,2
110112,5,1,100,112000,118980,2900,1
110118,3,1,171,115770,118700,2000,1
110118,4,1,174,114000,118900,10837,2
110118,5,1,100,112000,118970,4893,2
110124,1,10,14254,118000,118000,29239,6
110127,1,11,17835,118000,118000,29239,6
110130,1,11,17835,118000,118000,38576,7
110130,4,1,174,114000,118900,1500,1
110130,5,2,465,112000,118970,4893,2
110131,1,11,17835,118000,118000,38663,8
110140,1,10,14254,118000,118000,38663,8
110141,1,10,14254,118000,118000,39663,9
110143,1,10,14254,118000,118000,40563,10
110143,2,2,571,116000,118700,2000,1
110143,3,1,171,115770,118900,1500,1
110143,4,1,174,114000,118970,4893,2
110143,5,2,465,112000,118980,2900,1
110143,1,10,14254,118000,118000,42675,11
110143,4,1,174,114000,118970,2781,1
110148,1,10,14254,118000,118000,42765,12
110156,1,10,14254,118000,118000,44598,13
110159,1,10,14254,118000,118000,44780,14
110201,1,10,14254,118000,118000,45230,15
110210,1,10,14254,118000,118000,45396,16
110213,1,10,14254,118000,118000,46396,17
110216,1,10,14254,118000,118000,47985,18
110216,1,11,14602,118000,118000,47985,18
110224,1,11,14602,118000,118000,45985,17
110242,1,11,14602,118000,118000,47985,18
110242,2,2,571,116000,118900,1500,1
110242,3,1,171,115770,118970,2781,1
110242,4,1,174,114000,118980,2900,1
110242,5,2,465,112000,118990,249,1
110247,1,11,14602,118000,118000,48584,19
110249,2,3,771,116000,118900,1500,1
110253,1,11,14602,117500,117500,18652,5
110253,2,3,771,116000,117600,1000,1
110253,3,1,171,115770,117700,2900,2
110253,4,1,174,114000,117900,1589,1
110253,5,2,465,112000,117990,2711,2
110256,4,1,174,114000,117990,2711,2
110256,5,2,465,112000,118000,21732,8
110258,1,10,13791,117500,117500,18652,5
110258,2,4,1582,116000,117600,1000,1
110302,1,10,13791,117500,117500,27989,6
110302,5,2,465,112000,118000,12395,7
110305,1,9,13391,117500,117500,27989,6
110305,1,9,13391,117500,117500,29989,7
110305,3,1,171,115770,117700,900,1
110308,1,9,13391,117500,117500,30989,8
110308,2,4,1582,116000,117700,900,1
110308,3,1,171,115770,117990,2711,2
110308,4,1,174,114000,118000,12395,7
110308,5,2,465,112000,118900,3500,2
110311,1,10,16987,117500,117500,30989,8
110315,1,10,16987,117500,117500,31989,9
110315,4,1,174,114000,118000,11395,6
110321,1,9,16787,117500,117500,31989,9
110323,1,9,16787,117500,117500,32588,10
110323,3,1,171,115770,117990,2112,1
110324,1,8,13191,117500,117500,32588,10
110332,1,8,13191,117500,117500,32770,11
110332,4,1,174,114000,118000,11213,5
110333,1,8,13191,117500,117500,33670,12
110333,2,4,1582,116000,117990,2112,1
110333,3,1,171,115770,118000,11213,5
110333,4,1,174,114000,118900,3500,2
110333,5,2,465,112000,118970,2781,1
110337,1,8,13191,117500,117500,35782,13
110337,2,4,1582,116000,118000,11213,5
110337,3,1,171,115770,118900,3500,2
110337,4,1,174,114000,118970,2781,1
110337,5,2,465,112000,118980,2900,1
110338,1,8,13191,117000,117000,22552,8
110338,2,4,1582,116000,117400,599,1
110338,3,1,171,115770,117500,12631,4
110338,4,1,174,114000,118000,11213,5
110338,5,2,465,112000,118900,3500,2
110349,1,8,13191,117000,117000,31889,9
110349,3,1,171,115770,117500,3294,3
110350,1,8,13191,117000,117000,32071,10
110350,3,1,171,115770,117500,3112,2
110350,2,4,1582,116000,117400,2599,2
110353,1,8,13191,117000,117000,33071,11
110353,3,1,171,115770,117500,2112,1
110353,5,2,465,112000,118900,1500,1
110355,1,8,13191,117000,117000,38071,12
110355,4,1,174,114000,118000,6213,4
110401,1,9,13591,117000,117000,38071,12
110408,1,9,13591,117000,117000,40071,13
110417,1,9,13591,117000,117000,40095,14
110427,1,9,13591,116990,116990,15048,7
110427,2,4,1582,116000,117000,27159,8
110427,3,1,171,115770,117400,2599,2
110431,2,4,1582,116000,117000,25159,7
110434,2,4,1582,116000,117000,25135,6
110435,1,10,14402,116990,116990,15048,7
110435,2,3,771,116000,117000,25135,6
110439,1,10,14402,116900,116900,22273,7
110439,2,3,771,116000,116990,2112,1
110439,3,1,171,115770,117000,15798,5
110439,4,1,174,114000,117400,2599,2
110439,5,2,465,112000,118000,6213,4
110440,1,10,14402,116800,116800,14436,7
110440,2,3,771,116000,116900,9337,1
110440,3,1,171,115770,116990,2112,1
110440,4,1,174,114000,117000,15798,5
110440,5,2,465,112000,117400,2599,2
110443,3,1,171,115770,116990,3112,2
110443,4,1,174,114000,117000,14798,4
110444,1,10,14402,116800,116800,14602,8
110444,4,1,174,114000,117000,14632,3
110447,3,1,171,115770,116990,3294,3
110447,4,1,174,114000,117000,14450,2
110450,1,10,14402,116790,116790,15714,8
110450,2,3,771,116000,116800,1000,1
110450,3,1,171,115770,116900,9337,1
110450,4,1,174,114000,116990,1182,2
110450,5,2,465,112000,117000,14450,2
110454,1,10,14402,116700,116700,22939,8
110454,2,3,771,116000,116790,2112,1
110454,3,1,171,115770,116800,1000,1
110456,3,1,171,115770,116800,15000,2
110456,5,2,465,112000,117000,450,1
110457,3,1,171,115770,116800,15182,3
110457,4,1,174,114000,116990,1000,1
110501,1,9,14054,116700,116700,22939,8
110513,1,9,14054,116700,116700,23121,9
110513,3,1,171,115770,116800,15000,2
110514,1,10,23244,116700,116700,23121,9
110514,1,10,23244,116700,116700,25233,10
110514,2,3,771,116000,116800,15000,2
110514,3,1,171,115770,116990,1000,1
110514,4,1,174,114000,117000,450,1
110514,5,2,465,112000,117400,2599,2
110521,1,11,26865,116700,116700,25233,10
110527,1,10,26790,116700,116700,25233,10
110543,1,10,26790,116700,116700,25754,11
110547,1,10,26790,116700,116700,16417,10
110551,1,10,26790,116700,116700,17417,11
110551,3,1,171,115770,117000,450,1
110551,4,1,174,114000,117400,2599,2
110551,5,2,465,112000,118000,6213,4
110552,2,3,771,116000,116800,14000,1
110553,1,10,26790,116700,116700,19417,12
110554,4,1,100,115000,117400,2599,2
110554,5,1,174,114000,118000,6213,4
110600,1,9,23169,116700,116700,19417,12
110602,1,9,23169,116700,116700,19617,13
110603,1,9,23169,116700,116700,33617,14
110603,2,3,771,116000,117000,450,1
110603,3,1,171,115770,117400,2599,2
110603,4,1,100,115000,118000,6213,4
110603,5,1,174,114000,118970,2781,1
110605,1,10,23246,116700,116700,33617,14
110608,1,9,22846,116700,116700,33617,14
110616,1,9,22846,116700,116700,34067,15
110616,2,3,771,116000,117400,2599,2
110616,3,1,171,115770,118000,6213,4
110616,4,1,100,115000,118970,2781,1
110616,5,1,174,114000,118980,2900,1
110618,1,9,22846,116700,116700,43404,16
110619,1,10,23846,116700,116700,43404,16
110631,1,10,23846,116700,116700,43406,17
110637,1,10,23846,116700,116700,43506,18
110638,1,11,24246,116700,116700,43506,18
110644,2,4,4413,116000,117400,2599,2
110658,1,11,24246,116700,116700,43672,19
110700,1,11,24246,116700,116700,44672,20
110706,2,5,4573,116000,117400,2599,2
110749,3,1,171,115770,118000,6237,5
110803,5,1,365,112000,118980,2900,1
110808,1,11,24246,116700,116700,46772,21
110809,1,11,24246,116700,116700,46872,22
110815,1,11,24246,116700,116700,47072,22
110821,1,11,24246,116700,116700,47120,23
110827,4,2,300,115000,118970,2781,1
110828,1,10,23435,116700,116700,47120,23
110828,2,6,5405,116000,117400,2599,2
110840,1,9,14245,116600,116600,15186,9
110840,2,6,5405,116000,116690,166,1
110840,3,1,171,115770,116700,31768,13
110840,4,2,300,115000,117400,2599,2
110840,5,1,365,112000,118000,6237,5
110845,1,9,14245,116600,116600,20186,10
110846,1,10,14415,116600,116600,20186,10
110847,1,10,14415,116600,116600,20239,11
110849,3,1,171,115770,116700,29668,12
110852,1,10,14415,116590,116590,16351,10
110852,2,6,5405,116000,116600,6000,2
110852,3,1,171,115770,116690,166,1
110852,4,2,300,115000,116700,27556,11
110852,5,1,365,112000,117400,2599,2
110854,1,10,14415,116600,116600,18851,12
110854,2,6,5405,116000,116690,166,1
110854,3,1,171,115770,116700,27556,11
110854,4,2,300,115000,117400,2599,2
110854,5,1,365,112000,118000,6237,5
110855,1,10,14415,116600,116600,28188,13
110855,3,1,171,115770,116700,18219,10
110857,1,10,14415,116600,116600,26688,12
110857,2,6,5405,116000,116690,1666,2
110858,1,10,14415,116600,116600,31688,13
110859,1,10,14415,116600,116600,31854,14
110859,3,1,171,115770,116700,18053,9
110901,1,10,14415,116600,116600,33954,15
110903,1,9,14015,116600,116600,33954,15
110905,1,8,13015,116600,116600,33954,15
110905,1,8,13015,116600,116600,34002,16
110905,3,1,171,115770,116700,18005,8
110909,1,8,13015,116600,116600,48002,17
110909,3,1,171,115770,116700,4005,7
110917,1,14,18420,116000,116000,6139,6
110917,2,1,171,115770,116300,2200,1
110917,3,2,300,115000,116400,900,1
110917,4,1,365,112000,116590,2112,1
110917,5,13,30219,110000,116600,36651,8
110923,1,14,18420,116000,116000,11139,7
110923,1,14,18420,116000,116000,13339,8
110923,2,1,171,115770,116400,900,1
110923,3,2,300,115000,116590,2112,1
110923,4,1,365,112000,116600,36651,8
110923,5,13,30219,110000,116650,1500,1
110923,3,2,300,115000,116550,166,1
110923,4,1,365,112000,116590,2112,1
110923,5,13,30219,110000,116600,36485,7
110926,4,1,365,112000,116590,2278,2
110928,1,14,18420,116000,116000,14339,9
110932,1,13,18002,116000,116000,14339,9
110932,5,14,30637,110000,116600,36485,7
110933,1,13,18002,116000,116000,14353,10
110936,1,13,18002,116000,116000,14535,11
110936,1,14,18412,116000,116000,14535,11
110937,5,14,30637,110000,116600,34385,6
110938,1,14,18412,116000,116000,15415,12
110941,1,14,18412,116000,116000,20415,13
110941,1,14,18412,116000,116000,22527,14
110941,4,1,365,112000,116590,166,1
110942,5,14,30637,110000,116600,25048,5
110944,1,14,18412,116000,116000,24627,15
110944,1,14,18412,116000,116000,24774,16
110945,1,14,18412,116000,116000,29774,17
110947,3,1,100,115000,116550,166,1
110948,1,14,18412,116000,116000,29853,18
110950,5,14,30637,110000,116600,26505,6
110954,1,14,18412,116000,116000,30853,19
110954,5,14,30637,110000,116600,25505,5
110958,5,14,30637,110000,116600,20505,4
110958,1,13,14770,116000,116000,30853,19
110958,1,13,14770,115990,115990,16401,8
110958,2,1,171,115770,116000,16452,12
110958,3,1,100,115000,116400,900,1
110958,4,1,365,112000,116550,166,1
110958,5,14,30637,110000,116590,166,1
110959,3,1,100,112500,116400,900,1
110959,2,1,171,115770,116000,16618,13
110959,4,1,365,112000,116590,166,1
110959,5,14,30637,110000,116600,20505,4
110959,1,14,15220,115990,115990,16401,8
111000,5,14,30637,110000,116600,15505,3
111005,1,14,15220,115990,115990,16348,7
111011,1,15,15391,115770,115770,25236,5
111011,2,1,100,112500,115780,1000,1
111011,3,1,365,112000,115800,2000,1
111011,4,14,30637,110000,115990,2112,1
111011,5,1,3000,109800,116000,16618,13
111014,5,1,3000,109800,116000,14518,12
111014,4,14,30637,110000,115990,2294,2
111014,5,1,3000,109800,116000,14336,11
111016,1,15,15391,115770,115770,25284,6
111018,1,14,15314,115770,115770,25284,6
111019,5,1,3000,109800,116000,9336,10
111020,5,1,3000,109800,116000,4336,9
111024,4,15,34478,110000,115990,2294,2
111025,1,14,15314,115770,115770,25466,7
111025,4,15,34478,110000,115990,2112,1
111029,1,13,15114,115770,115770,25466,7
111029,1,13,15114,115770,115770,26466,8
111029,5,1,3000,109800,116000,3336,8
111030,1,12,14614,115770,115770,26466,8
111034,1,12,14614,115770,115770,28566,9
111034,1,11,13782,115770,115770,28566,9
111035,1,11,13782,115700,115700,15336,6
111035,2,1,100,112500,115770,15230,4
111035,3,1,365,112000,115780,1000,1
111045,1,11,13782,115700,115700,20336,7
111048,1,11,13782,115690,115690,15348,6
111048,2,1,100,112500,115700,7100,2
111048,3,1,365,112000,115770,15230,4
111048,4,15,34478,110000,115780,1000,1
111049,1,12,13859,115690,115690,15348,6
111049,4,16,34687,110000,115780,1000,1
111049,2,1,100,112500,115700,7282,3
111049,3,1,365,112000,115770,15048,3
111053,2,1,100,112500,115700,7659,4
111055,2,1,100,112500,115700,5559,3
111055,1,12,13859,115600,115600,14736,6
111055,2,1,100,112500,115690,2112,1
111055,3,1,365,112000,115700,5559,3
111055,4,16,34687,110000,115770,15048,3
111055,5,1,3000,109800,115780,1000,1
111057,2,1,200,115000,115690,2112,1
111057,3,1,100,112500,115700,5559,3
111057,4,1,365,112000,115770,15048,3
111057,5,16,34687,110000,115780,1000,1
111059,2,1,200,115000,115690,3012,2
111104,2,1,200,115000,115690,3194,3
111104,3,1,100,112500,115700,5377,2
111104,1,12,13859,115600,115600,15136,7
111105,1,12,13859,115600,115600,15657,8
111108,1,12,13859,115600,115600,16657,9
111108,4,1,365,112000,115770,14048,2
111109,1,12,13859,115590,115590,15348,6
111109,2,1,200,115000,115600,3421,4
111109,3,1,100,112500,115690,1082,2
111109,4,1,365,112000,115700,5377,2
111109,5,16,34687,110000,115770,14048,2
111109,1,11,13459,115590,115590,15348,6
111109,2,2,600,115000,115600,3421,4
111110,2,2,600,115000,115600,8421,5
111110,4,1,365,112000,115700,377,1
111116,2,3,1439,115000,115600,8421,5
111119,1,11,13459,115590,115590,15530,7
111119,3,1,100,112500,115690,900,1
111123,1,11,13459,115590,115590,20530,8
111123,2,3,1439,115000,115600,3421,4
111123,1,11,13459,115590,115590,20578,9
111123,5,16,34687,110000,115770,14000,1
111124,1,11,13459,115550,115550,15336,6
111124,2,3,1439,115000,115590,7342,4
111124,3,1,100,112500,115600,3421,4
111124,4,1,365,112000,115690,900,1
111124,5,16,34687,110000,115700,377,1
111125,2,3,1439,115000,115580,1400,1
111125,3,1,100,112500,115590,7342,4
111125,4,1,365,112000,115600,3421,4
111125,5,16,34687,110000,115690,900,1
111128,5,15,30846,110000,115690,900,1
111129,1,11,13459,115550,115550,16336,7
111134,1,11,13459,115550,115550,21336,8
111135,1,11,13459,115500,115500,14836,6
111135,2,3,1439,115000,115550,8000,3
111135,3,1,100,112500,115580,1400,1
