time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,300,19100,20150,258,1
63938,2,1,300,19060,20400,15000,2
63938,3,0,0,0,20700,450,1
63938,4,0,0,0,20900,250,1
63938,5,0,0,0,20950,250,1
84506,1,1,2258,20310,20310,258,1
84506,2,1,300,19100,20400,15000,2
84506,3,1,300,19060,20700,450,1
84523,4,1,50000,18390,20900,250,1
84524,4,1,1000,19010,20900,250,1
84524,5,1,50000,18390,20950,250,1
84533,5,1,500,18410,20950,250,1
84543,1,1,2258,20240,20240,9598,2
84601,2,1,520,19150,20400,15000,2
84601,3,1,300,19100,20700,450,1
84601,4,1,300,19060,20900,250,1
84601,5,1,1000,19010,20950,250,1
84604,2,1,520,19150,20310,503,1
84604,3,1,300,19100,20400,15000,2
84604,4,1,300,19060,20700,450,1
84604,5,1,1000,19010,20900,250,1
84626,2,1,520,19150,20300,1500,1
84626,3,1,300,19100,20310,503,1
84626,4,1,300,19060,20400,15000,2
84626,5,1,1000,19010,20700,450,1
84636,2,1,260,19690,20300,1500,1
84636,3,1,520,19150,20310,503,1
84636,4,1,300,19100,20400,15000,2
84636,5,1,300,19060,20700,450,1
84640,3,1,520,19150,20310,3753,2
84651,2,1,260,19690,20290,1000,1
84651,3,1,520,19150,20300,1500,1
84651,4,1,300,19100,20310,3753,2
84651,5,1,300,19060,20400,15000,2
84713,1,1,260,19690,20150,258,1
84713,2,1,520,19150,20240,9340,1
84713,3,1,300,19100,20290,1000,1
84713,4,1,300,19060,20300,1500,1
84713,5,1,1000,19010,20310,3753,2
84720,3,1,300,19100,20280,250,1
84720,4,1,300,19060,20290,1000,1
84720,5,1,1000,19010,20300,1500,1
84724,5,1,290,19030,20300,1500,1
84753,1,1,260,19690,20000,457,1
84753,2,1,520,19150,20150,258,1
84753,3,1,300,19100,20240,9340,1
84753,4,1,300,19060,20280,250,1
84753,5,1,290,19030,20290,1000,1
84830,3,1,300,19100,20200,480,1
84830,4,1,300,19060,20240,9340,1
84830,5,1,290,19030,20280,250,1
84838,1,2,765,19690,20000,457,1
84905,4,1,290,19030,20240,9340,1
84905,5,1,1000,19010,20280,250,1
85027,1,2,765,19350,19350,810,1
85027,2,1,520,19150,20000,457,1
85027,3,1,300,19100,20150,258,1
85027,4,1,290,19030,20200,480,1
85027,5,1,1000,19010,20240,9340,1
85049,1,2,765,19690,19800,810,1
85206,2,1,270,19500,20000,457,1
85206,3,1,520,19150,20150,258,1
85206,4,1,300,19100,20200,480,1
85206,5,1,290,19030,20240,9340,1
85211,1,3,1865,19690,19800,810,1
85240,1,1,302,19800,19800,810,1
85240,2,3,1865,19690,20000,457,1
85240,3,1,270,19500,20150,258,1
85240,4,1,520,19150,20200,480,1
85240,5,1,300,19100,20240,9340,1
85409,1,2,807,19800,19800,810,1
85409,2,2,1360,19690,20000,457,1
85446,1,1,302,19800,19800,810,1
85551,4,1,2000,19200,20200,480,1
85551,5,1,520,19150,20240,9340,1
85603,2,2,1360,19690,20000,5457,2
85634,5,2,10520,19150,20240,9340,1
85643,1,1,302,19800,19800,5810,2
85714,4,1,262,19210,20200,480,1
85714,5,1,2000,19200,20240,9340,1
85727,4,2,762,19210,20200,480,1
85925,5,2,2500,19200,20240,9340,1
85946,1,3,1662,19690,19690,1000,1
85946,2,1,270,19500,19800,5810,2
85946,3,2,762,19210,20000,5457,2
85946,4,2,2500,19200,20150,258,1
85946,5,2,10520,19150,20200,480,1
85954,3,2,762,19210,20000,7704,3
90019,1,1,662,19690,19800,5810,2
90019,2,1,270,19500,20000,7704,3
90019,3,2,762,19210,20150,258,1
90019,4,2,2500,19200,20200,480,1
90019,5,2,10520,19150,20240,9340,1
90030,1,2,1066,19690,19800,5810,2
90035,1,2,1066,19690,19800,7810,3
90047,1,3,1571,19690,19800,7810,3
90132,1,2,761,19690,19800,7000,2
90139,5,1,2000,19160,20240,9340,1
90212,3,3,11134,19210,20150,258,1
90247,1,1,10000,19700,19800,7000,2
90247,2,2,761,19690,20000,7704,3
90247,3,1,270,19500,20150,258,1
90247,4,3,11134,19210,20200,480,1
90247,5,2,2500,19200,20240,9340,1
90247,1,1,9780,19700,19800,7000,2
90250,5,1,2000,19200,20240,9340,1
90258,5,1,2000,19200,20230,10000,1
90302,2,3,1761,19690,20000,7704,3
90309,1,2,10036,19700,19800,7000,2
90309,2,2,1505,19690,20000,7704,3
90316,1,3,11036,19700,19800,7000,2
90316,2,1,505,19690,20000,7704,3
90333,2,2,8644,19690,20000,7704,3
90350,1,1,3000,19800,20000,7704,3
90350,2,3,11036,19700,20150,258,1
90350,3,2,8644,19690,20200,480,1
90350,4,1,270,19500,20230,10000,1
90350,5,3,11134,19210,20240,9340,1
90354,1,2,4000,19800,20000,7704,3
90354,2,2,10036,19700,20150,258,1
90357,1,3,5000,19800,20000,7704,3
90402,1,2,4000,19800,20000,6704,2
90408,5,2,762,19210,20240,9340,1
90415,1,2,4000,19800,20000,6207,2
90417,1,2,4000,19800,20000,11207,3
90419,1,2,4000,19800,20000,10937,3
90419,1,1,10000,19810,20000,10937,3
90419,2,2,4000,19800,20150,258,1
90419,3,2,10036,19700,20200,480,1
90419,4,2,8644,19690,20230,10000,1
90419,5,1,270,19500,20240,9340,1
90430,3,3,20150,19700,20200,480,1
90441,1,2,11000,19810,20000,10937,3
90449,4,1,505,19690,20230,10000,1
90503,1,2,10314,19810,20000,10937,3
90504,1,2,10314,19810,19990,1500,1
90504,2,2,4000,19800,20000,10937,3
90504,3,3,20150,19700,20150,258,1
90504,4,1,505,19690,20200,480,1
90504,5,1,270,19500,20230,10000,1
90511,1,2,10314,19810,19990,9609,2
90515,1,3,18404,19810,19990,9609,2
90515,1,3,18404,19810,19990,11856,3
90515,2,2,4000,19800,20000,8690,2
90521,3,1,260,19710,20150,258,1
90521,4,3,20150,19700,20200,480,1
90521,5,1,505,19690,20230,10000,1
90526,2,2,4000,19800,20000,8950,3
90532,4,4,22150,19700,20200,480,1
90543,1,3,16904,19810,19990,11856,3
90549,1,3,16904,19810,19980,1500,1
90549,2,2,4000,19800,19990,10356,2
90549,3,1,260,19710,20000,8950,3
90549,4,4,22150,19700,20150,258,1
90549,5,1,505,19690,20200,480,1
90552,1,3,16904,19810,19980,1000,1
90552,1,3,16904,19810,19980,11000,2
90600,1,3,16904,19810,19980,1000,1
90605,1,3,16004,19810,19980,1000,1
90608,1,4,21004,19810,19980,1000,1
90616,4,5,22410,19700,20150,258,1
90620,4,4,12296,19700,20150,258,1
90631,1,4,21004,19810,19990,10356,2
90631,2,2,4000,19800,20000,8950,3
90631,3,1,260,19710,20150,258,1
90631,4,4,12296,19700,20200,480,1
90631,5,1,505,19690,20230,10000,1
90643,1,5,31062,19810,19990,10356,2
90651,1,5,31062,19810,19990,10357,3
90658,3,1,260,19710,20150,9258,2
90704,1,5,31062,19810,19990,9157,3
90706,1,6,31318,19810,19990,9157,3
90706,4,3,12040,19700,20200,480,1
90733,1,7,32118,19810,19990,9157,3
90734,1,7,32118,19810,19990,10157,4
90743,1,6,27118,19810,19990,5157,4
90744,2,2,4000,19800,20000,9200,4
90807,1,6,27118,19810,19990,5447,5
90830,1,1,2500,19820,19990,5447,5
90830,2,6,27118,19810,20000,9200,4
90830,3,2,4000,19800,20150,9258,2
90830,4,1,260,19710,20200,480,1
90830,5,3,12040,19700,20230,10000,1
90834,1,1,10000,19850,19990,5447,5
90834,2,1,2500,19820,20000,9200,4
90834,3,6,27118,19810,20150,9258,2
90834,4,2,4000,19800,20200,480,1
90834,5,1,260,19710,20230,10000,1
90836,1,1,10000,19850,19980,1000,1
90836,2,1,2500,19820,19990,4447,4
90836,3,6,27118,19810,20000,9200,4
90836,4,2,4000,19800,20150,9258,2
90836,5,1,260,19710,20200,480,1
90848,1,1,10000,19850,19980,21000,2
90853,3,6,27118,19810,20000,10435,5
90858,1,1,10000,19850,19900,100000,1
90858,2,1,2500,19820,19980,21000,2
90858,3,6,27118,19810,19990,4447,4
90858,4,2,4000,19800,20000,10435,5
90858,5,1,260,19710,20150,9258,2
90859,1,1,1001,19860,19900,100000,1
90859,2,1,10000,19850,19980,21000,2
90859,3,1,2500,19820,19990,4447,4
90859,4,6,27118,19810,20000,10435,5
90859,5,2,4000,19800,20150,9258,2
90910,1,1,2500,19870,19900,100000,1
90910,2,1,1001,19860,19980,21000,2
90910,3,1,10000,19850,19990,4447,4
90910,4,1,2500,19820,20000,10435,5
90910,5,6,27118,19810,20150,9258,2
90917,2,2,6001,19860,19980,21000,2
90925,4,1,2500,19820,20000,19435,6
90925,5,6,27118,19810,20150,258,1
90925,1,1,1792,19870,19900,100000,1
90928,4,6,27118,19810,20000,19435,6
90928,5,2,4000,19800,20150,258,1
90928,1,1,1792,19870,19890,1909,1
90928,2,2,6001,19860,19900,100000,1
90928,3,1,10000,19850,19980,21000,2
90928,4,6,27118,19810,19990,2538,3
90928,5,2,4000,19800,20000,19435,6
90933,4,1,1000,19820,19990,2538,3
90933,5,5,26118,19810,20000,19435,6
90935,1,2,2048,19870,19890,1909,1
90935,5,4,25862,19810,20000,19435,6
90943,2,1,1001,19860,19900,100000,1
90946,4,1,1000,19820,19990,3773,4
90946,5,4,25862,19810,20000,18200,5
90958,1,2,2048,19870,19900,1909,1
90958,2,1,1001,19860,19980,21000,2
90958,3,1,10000,19850,19990,3773,4
90958,4,1,1000,19820,20000,18200,5
90958,5,4,25862,19810,20010,255,1
90959,2,1,1001,19860,19980,1000,1
91000,1,1,5000,19890,19900,1909,1
91000,2,2,2048,19870,19980,1000,1
91000,3,1,1001,19860,19990,3773,4
91000,4,1,10000,19850,20000,18200,5
91000,5,1,1000,19820,20010,255,1
91003,1,1,98091,19900,19980,1000,1
91003,2,1,5000,19890,19990,3773,4
91003,3,2,2048,19870,20000,18200,5
91003,4,1,1001,19860,20010,255,1
91003,5,1,10000,19850,20150,258,1
91013,2,2,2048,19870,19990,3773,4
91013,3,1,1001,19860,20000,18200,5
91013,4,1,10000,19850,20010,255,1
91013,5,1,1000,19820,20150,258,1
91024,3,1,1001,19860,20000,9200,4
91024,5,1,1000,19820,20150,9258,2
91027,1,1,95844,19900,19980,1000,1
91027,2,2,2048,19870,19990,1526,3
91030,1,1,5000,19910,19980,1000,1
91030,2,1,95844,19900,19990,1526,3
91030,3,2,2048,19870,20000,9200,4
91030,4,1,1001,19860,20010,255,1
91030,5,1,10000,19850,20150,9258,2
91036,2,1,95844,19900,19990,291,2
91036,3,2,2048,19870,20000,10435,5
91039,1,1,5000,19910,19990,291,2
91039,2,1,95844,19900,20000,10435,5
91039,3,2,2048,19870,20010,255,1
91039,4,1,1001,19860,20150,9258,2
91039,5,1,10000,19850,20200,480,1
91040,5,1,1000,19820,20200,480,1
91042,1,2,5256,19910,19990,291,2
91042,3,1,1792,19870,20010,255,1
91056,1,2,5256,19910,19990,1,1
91058,2,1,95844,19900,20000,11935,6
91117,2,1,95844,19900,20000,10700,5
91117,4,1,1001,19860,20150,9758,3
91121,1,2,5256,19910,19990,10001,2
91122,1,1,400,19920,19990,10001,2
91122,2,2,5256,19910,20000,10700,5
91122,3,1,95844,19900,20010,255,1
91122,4,1,1792,19870,20150,9758,3
91122,5,1,1001,19860,20200,480,1
91129,1,1,400,19920,19990,10261,3
91130,2,2,5256,19910,20000,10955,6
91134,1,2,656,19920,19990,10261,3
91134,2,1,5000,19910,20000,10955,6
91135,1,2,656,19920,19990,11496,4
91135,4,1,1792,19870,20150,9258,2
91143,1,2,656,19920,19990,11755,5
91149,1,1,5000,19950,19990,11755,5
91149,2,2,656,19920,20000,10955,6
91149,3,1,5000,19910,20010,255,1
91149,4,1,95844,19900,20150,9258,2
91149,5,1,1792,19870,20200,480,1
91155,4,1,95844,19900,20100,9000,1
91155,5,1,1792,19870,20150,258,1
91201,2,1,1000,19930,20000,10955,6
91201,3,2,656,19920,20010,255,1
91201,4,1,5000,19910,20100,9000,1
91201,5,1,95844,19900,20150,258,1
91216,5,1,95844,19900,20150,615,2
91220,1,1,5000,19950,19980,3230,1
91220,2,1,1000,19930,19990,11755,5
91220,3,2,656,19920,20000,10955,6
91220,4,1,5000,19910,20010,255,1
91220,5,1,95844,19900,20100,9000,1
91223,1,1,5000,19950,19980,23230,2
91226,1,1,1200,19960,19980,23230,2
91226,2,1,5000,19950,19990,11755,5
91226,3,1,1000,19930,20000,10955,6
91226,4,2,656,19920,20010,255,1
91226,5,1,5000,19910,20100,9000,1
91230,1,1,765,19960,19980,23230,2
91232,3,1,1000,19930,20000,10700,5
91240,1,1,765,19960,19970,500,1
91240,2,1,5000,19950,19980,23230,2
91240,3,1,1000,19930,19990,11755,5
91240,4,2,656,19920,20000,10700,5
91240,5,1,5000,19910,20010,255,1
91255,1,1,765,19960,19980,23230,2
91255,2,1,5000,19950,19990,11755,5
91255,3,1,1000,19930,20000,10700,5
91255,4,2,656,19920,20010,255,1
91255,5,1,5000,19910,20100,9000,1
91305,1,2,1021,19960,19980,23230,2
91305,4,1,400,19920,20010,255,1
91320,5,1,95844,19900,20100,9000,1
91325,3,1,1000,19930,20000,11033,6
91329,1,1,5000,19950,19960,1979,1
91329,2,1,1000,19930,19980,23230,2
91329,3,1,400,19920,19990,11755,5
91329,4,1,95844,19900,20000,11033,6
91329,5,1,1792,19870,20010,255,1
91338,1,1,352,19960,19980,23230,2
91338,2,1,5000,19950,19990,11755,5
91338,3,1,1000,19930,20000,11033,6
91338,4,1,400,19920,20010,255,1
91338,5,1,95844,19900,20100,9000,1
91347,1,1,352,19960,20100,9000,1
91347,2,1,5000,19950,20150,615,2
91347,3,1,1000,19930,20200,480,1
91347,4,1,400,19920,20230,10000,1
91347,5,1,95844,19900,20240,9340,1
91405,1,1,352,19960,20150,9615,3
91405,2,1,5000,19950,20200,480,1
91405,3,1,1000,19930,20230,10000,1
91405,4,1,400,19920,20240,9340,1
91405,5,1,95844,19900,20280,250,1
91406,1,2,5793,19960,20150,9615,3
91410,4,1,400,19920,20240,9690,2
91414,1,1,5000,19980,20150,9615,3
91414,2,2,5793,19960,20200,480,1
91414,3,1,5000,19950,20230,10000,1
91414,4,1,1000,19930,20240,9690,2
91414,5,1,400,19920,20280,250,1
91417,1,1,5000,19980,20150,615,2
91417,3,1,5000,19950,20230,19000,2
91421,1,1,5000,19980,20000,100000,1
91421,2,2,5793,19960,20150,615,2
91421,3,1,5000,19950,20200,480,1
91421,4,1,1000,19930,20230,19000,2
91421,5,1,400,19920,20240,9690,2
91425,1,1,5000,19980,20000,99700,1
91425,1,1,3901,19980,20000,99700,1
91425,1,1,3901,19980,20000,199700,2
91444,1,1,3578,19980,20000,199700,2
91458,5,1,400,19920,20240,9940,3
91503,1,1,3578,19980,20000,99700,1
91504,1,1,3478,19980,20000,99700,1
91504,2,1,5441,19960,20150,615,2
91506,1,1,300,20000,20150,615,2
91506,2,1,3478,19980,20200,480,1
91506,3,1,5441,19960,20230,19000,2
91506,4,1,5000,19950,20240,9940,3
91506,5,1,1000,19930,20280,250,1
91519,1,2,3300,20000,20150,615,2
91522,1,2,3300,20000,20230,18895,2
91522,2,1,3478,19980,20240,9940,3
91522,3,1,5441,19960,20280,250,1
91522,4,1,5000,19950,20290,1000,1
91522,5,1,1000,19930,20300,15529,3
91523,2,2,13478,19980,20240,9940,3
91528,1,3,4296,20000,20230,18895,2
91530,1,3,4296,20000,20200,500,1
91530,2,2,13478,19980,20230,18895,2
91530,3,1,5441,19960,20240,9940,3
91530,4,1,5000,19950,20280,250,1
91530,5,1,1000,19930,20290,1000,1
91533,4,1,1000,19930,20280,250,1
91533,5,1,400,19920,20290,1000,1
91537,1,1,1172,20200,20230,18895,2
91537,2,3,4296,20000,20240,9940,3
91537,3,2,13478,19980,20280,250,1
91537,4,1,5441,19960,20290,1000,1
91537,5,1,1000,19930,20300,15529,3
91538,1,2,1513,20200,20230,18895,2
91538,5,1,1000,19930,20300,20529,4
91553,1,2,1513,20200,20220,500,1
91553,2,3,4296,20000,20230,18895,2
91553,3,2,13478,19980,20240,9940,3
91553,4,1,5441,19960,20280,250,1
91553,5,1,1000,19930,20290,1000,1
91557,1,1,1172,20200,20220,159,1
91559,1,1,1172,20200,20230,9054,2
91559,2,3,4296,20000,20240,9940,3
91559,3,2,13478,19980,20280,250,1
91559,4,1,5441,19960,20290,1000,1
91559,5,1,1000,19930,20300,20529,4
91600,1,1,1172,20200,20230,4054,1
91601,1,1,922,20200,20230,4054,1
91605,1,1,922,20200,20220,380,1
91605,2,3,4296,20000,20230,4054,1
91605,3,2,13478,19980,20240,9940,3
91605,4,1,5441,19960,20280,250,1
91605,5,1,1000,19930,20290,1000,1
91620,1,3,4296,20000,20220,380,1
91620,2,2,13478,19980,20230,4054,1
91620,3,1,5441,19960,20240,9940,3
91620,4,1,1000,19930,20280,250,1
91620,5,1,400,19920,20290,1000,1
91624,4,1,1000,19930,20280,1050,2
91626,1,3,4296,20000,20230,3514,1
91626,2,2,13478,19980,20240,9940,3
91626,3,1,5441,19960,20280,1050,2
91626,4,1,1000,19930,20290,1000,1
91626,5,1,400,19920,20300,20529,4
91631,1,1,500,20220,20230,3514,1
91631,2,3,4296,20000,20240,9940,3
91631,3,2,13478,19980,20280,1050,2
91631,4,1,5441,19960,20290,1000,1
91631,5,1,1000,19930,20300,20529,4
91637,1,1,500,20220,20230,4014,2
91647,2,1,4500,20050,20240,9940,3
91647,3,3,4296,20000,20280,1050,2
91647,4,2,13478,19980,20290,1000,1
91647,5,1,5441,19960,20300,20529,4
91655,1,1,4500,20050,20200,99500,1
91655,2,3,4296,20000,20230,4014,2
91655,3,2,13478,19980,20240,9940,3
91655,4,1,5441,19960,20280,1050,2
91655,5,1,1000,19930,20290,1000,1
91658,1,1,4500,20050,20200,199500,2
91707,2,3,4296,20000,20220,6000,1
91707,3,2,13478,19980,20230,4014,2
91707,4,1,5441,19960,20240,9940,3
91707,5,1,1000,19930,20280,1050,2
91709,5,1,1000,19930,20250,257,1
91710,1,1,14870,20100,20200,199500,2
91710,2,1,4500,20050,20220,6000,1
91710,3,3,4296,20000,20230,4014,2
91710,4,2,13478,19980,20240,9940,3
91710,5,1,5441,19960,20250,257,1
91710,1,1,14870,20100,20190,3777,1
91710,2,1,4500,20050,20200,199500,2
91710,3,3,4296,20000,20220,6000,1
91710,4,2,13478,19980,20230,4014,2
91710,5,1,5441,19960,20240,9940,3
91712,4,2,13478,19980,20230,4492,3
91718,1,1,14870,20100,20190,4477,2
91719,1,1,14870,20100,20190,9477,3
91725,1,1,14870,20100,20190,12957,4
91732,1,1,14870,20100,20190,12697,4
91735,4,1,10000,19980,20230,4492,3
91743,4,1,10000,19980,20230,4014,2
91743,5,1,5441,19960,20240,10418,4
91755,1,1,5000,20110,20190,12697,4
91755,2,1,14870,20100,20200,199500,2
91755,3,1,4500,20050,20220,6000,1
91755,4,3,4296,20000,20230,4014,2
91755,5,1,10000,19980,20240,10418,4
91758,3,2,5500,20050,20220,6000,1
91803,5,2,11000,19980,20240,10418,4
91808,1,1,5000,20110,20200,112197,2
91808,2,1,14870,20100,20220,6000,1
91808,3,2,5500,20050,20230,4014,2
91808,4,3,4296,20000,20240,10418,4
91808,5,2,11000,19980,20250,257,1
91814,1,2,6000,20110,20200,112197,2
91820,1,2,6000,20110,20200,97481,1
91829,1,1,2475,20120,20200,97481,1
91829,2,2,6000,20110,20220,6000,1
91829,3,1,14870,20100,20230,4014,2
91829,4,2,5500,20050,20240,10418,4
91829,5,3,4296,20000,20250,257,1
91830,2,3,11000,20110,20220,6000,1
91830,1,1,2475,20120,20200,95481,1
91831,1,2,3475,20120,20200,95481,1
91832,1,2,3475,20120,20200,94480,1
91835,1,1,994,20130,20200,94480,1
91835,2,2,3475,20120,20220,6000,1
91835,3,3,11000,20110,20230,4014,2
91835,4,1,14870,20100,20240,10418,4
91835,5,2,5500,20050,20250,257,1
91839,3,2,10000,20110,20230,4014,2
91840,1,2,5994,20130,20200,94480,1
91840,3,1,5000,20110,20230,4014,2
91842,2,3,3784,20120,20220,6000,1
91842,2,2,2784,20120,20220,6000,1
91842,4,1,14870,20100,20240,15418,5
91850,1,2,5994,20130,20200,93480,1
91852,1,1,2475,20140,20200,93480,1
91852,2,2,5994,20130,20220,6000,1
91852,3,1,309,20120,20230,4014,2
91852,4,1,5000,20110,20240,15418,5
91852,5,1,14870,20100,20250,257,1
91853,1,1,741,20150,20200,93480,1
91853,2,1,2475,20140,20220,6000,1
91853,3,2,5994,20130,20230,4014,2
91853,4,1,309,20120,20240,15418,5
91853,5,1,5000,20110,20250,257,1
91854,2,1,2475,20140,20210,390,1
91854,3,2,5994,20130,20220,6000,1
91854,4,1,309,20120,20230,4014,2
91854,5,1,5000,20110,20240,15418,5
91858,1,1,741,20150,20200,93980,2
91900,1,1,741,20150,20200,113980,3
91900,1,1,741,20150,20200,111480,3
91903,1,1,251,20160,20200,111480,3
91903,2,1,741,20150,20210,390,1
91903,3,1,2475,20140,20220,6000,1
91903,4,2,5994,20130,20230,4014,2
91903,5,1,309,20120,20240,15418,5
91904,1,2,1251,20160,20200,111480,3
91905,1,1,891,20160,20200,111480,3
91906,2,2,5741,20150,20210,390,1
91906,4,1,994,20130,20230,4014,2
91910,1,2,5741,20150,20160,1109,1
91910,2,1,2475,20140,20200,111480,3
91910,3,1,994,20130,20210,390,1
91910,4,1,309,20120,20220,6000,1
91910,5,1,5000,20110,20230,4014,2
91912,1,1,1366,20170,20200,111480,3
91912,2,2,5741,20150,20210,390,1
91912,3,1,994,20130,20220,6000,1
91912,4,1,309,20120,20230,4014,2
91912,5,1,5000,20110,20240,15418,5
91913,1,1,1366,20170,20200,106480,3
91913,2,1,741,20150,20210,390,1
91918,1,1,1366,20170,20200,6480,1
91924,1,1,1366,20170,20200,4480,1
91926,2,2,1741,20150,20210,390,1
91928,2,3,2737,20150,20210,390,1
91929,2,1,990,20160,20210,390,1
91929,3,3,2737,20150,20220,6000,1
91935,1,1,250,20180,20200,4480,1
91935,2,1,1366,20170,20210,390,1
91935,3,1,990,20160,20220,6000,1
91935,4,3,2737,20150,20230,4014,2
91935,5,1,309,20120,20240,15418,5
91936,1,1,250,20180,20200,7596,2
91937,5,2,6238,20110,20240,15418,5
91940,1,1,250,20180,20200,1596,1
91946,1,1,3404,20200,20210,390,1
91946,2,1,250,20180,20220,6000,1
91946,3,1,1366,20170,20230,4014,2
91946,4,1,990,20160,20240,15418,5
91946,5,3,2737,20150,20250,507,2
91950,1,2,7071,20200,20210,390,1
91950,1,3,7379,20200,20210,390,1
91950,1,1,5727,20210,20220,6000,1
91950,2,3,7379,20200,20230,4014,2
91950,3,1,250,20180,20240,15418,5
91950,4,1,1366,20170,20250,507,2
91950,5,1,990,20160,20280,1050,2
91956,1,1,5727,20210,20220,5750,1
92003,1,1,5727,20210,20220,5500,1
92006,1,1,5727,20210,20220,5000,1
92008,1,3,7379,20200,20220,5000,1
92008,2,1,250,20180,20230,4014,2
92008,3,1,1366,20170,20240,15418,5
92008,4,1,990,20160,20250,507,2
92008,5,2,1737,20150,20280,1050,2
92010,1,3,7379,20200,20220,5400,2
92018,1,3,7379,20200,20220,3400,2
92018,1,3,7379,20200,20220,5400,3
92019,1,1,9381,20220,20230,4014,2
92019,2,3,7379,20200,20240,15418,5
92019,3,1,250,20180,20250,507,2
92019,4,1,1366,20170,20280,1050,2
92019,5,1,990,20160,20290,1120,2
92019,1,1,9381,20220,20240,13733,5
92019,2,3,7379,20200,20250,507,2
92019,3,1,250,20180,20280,1050,2
92019,4,1,1366,20170,20290,1120,2
92019,5,1,990,20160,20300,15529,3
92024,4,2,2043,20170,20290,1120,2
92025,1,2,9649,20220,20240,13733,5
92026,1,2,9151,20220,20240,13733,5
92030,1,3,9951,20220,20240,13733,5
92033,1,4,10951,20220,20240,13733,5
92034,1,1,38706,20230,20240,13733,5
92034,2,4,10951,20220,20250,507,2
92034,3,3,7379,20200,20280,1050,2
92034,4,1,250,20180,20290,1120,2
92034,5,2,2043,20170,20300,15529,3
92037,2,5,11951,20220,20250,507,2
92038,1,1,31051,20230,20240,6078,4
92044,1,1,31051,20230,20240,5078,2
92046,1,2,31568,20230,20240,5078,2
92049,1,2,31568,20230,20240,4775,1
92049,3,2,7071,20200,20280,1050,2
92053,1,2,31568,20230,20240,3409,1
92053,5,1,677,20170,20300,15529,3
92054,3,1,3404,20200,20280,1050,2
92100,1,1,1591,20240,20250,507,2
92100,2,2,31568,20230,20280,1050,2
92100,3,5,11951,20220,20290,1120,2
92100,4,1,3404,20200,20300,15529,3
92100,5,1,250,20180,20310,106426,18
92101,1,1,1591,20240,20300,5953,1
92101,2,2,31568,20230,20310,106426,18
92101,3,5,11951,20220,20400,15000,2
92101,4,1,3404,20200,20700,450,1
92101,5,1,250,20180,20900,250,1
92101,3,4,11683,20220,20400,15000,2
92102,1,2,2585,20240,20300,5953,1
92103,1,3,6928,20240,20300,5953,1
92104,2,1,31051,20230,20310,106426,18
92107,3,3,10683,20220,20400,15000,2
92109,1,3,6928,20240,20300,5703,1
92109,5,1,677,20170,20900,250,1
92111,1,3,6928,20240,20300,8703,2
92112,5,1,990,20160,20900,250,1
92113,1,1,263,20250,20300,8703,2
92113,2,3,6928,20240,20310,106426,18
92113,3,1,31051,20230,20400,15000,2
92113,4,3,10683,20220,20700,450,1
92113,5,1,3404,20200,20900,250,1
92114,5,2,3833,20200,20900,250,1
92117,1,1,36350,20300,20310,106426,18
92117,2,1,263,20250,20400,15000,2
92117,3,3,6928,20240,20700,450,1
92117,4,1,31051,20230,20900,250,1
92117,5,3,10683,20220,20950,250,1
92120,1,1,36350,20300,20310,101426,16
92120,1,1,36350,20300,20310,91426,16
92120,1,1,36350,20300,20310,87779,15
92121,1,1,36350,20300,20310,86779,14
92123,1,1,13221,20310,20400,15000,2
92123,2,1,36350,20300,20700,450,1
92123,3,1,263,20250,20900,250,1
92123,4,3,6928,20240,20950,250,1
92123,5,1,31051,20230,21000,5250,2
92123,1,2,19647,20310,20400,15000,2
92124,3,2,766,20250,20900,250,1
92124,1,3,22647,20310,20400,15000,2
92125,1,4,122647,20310,20400,15000,2
92125,1,5,122912,20310,20400,15000,2
92125,1,6,219130,20310,20400,15000,2
92125,1,7,234130,20310,20400,15000,2
92125,1,8,259130,20310,20400,15000,2
92126,1,9,261630,20310,20400,15000,2
92126,1,10,269630,20310,20400,15000,2
92127,2,2,766,20250,20700,450,1
92127,3,3,6928,20240,20900,250,1
92127,4,1,31051,20230,20950,250,1
92127,5,3,10683,20220,21000,5250,2
92128,1,11,270130,20310,20400,15000,2
92128,1,12,272751,20310,20400,15000,2
92128,1,14,331316,20310,20400,15000,2
92128,1,15,371316,20310,20400,15000,2
92128,1,16,401316,20310,20400,15000,2
92128,1,17,479334,20310,20400,15000,2
92128,1,18,486557,20310,20400,15000,2
92129,2,1,503,20250,20700,450,1
92129,1,19,506557,20310,20400,15000,2
92129,1,20,543081,20310,20400,15000,2
92129,1,21,643081,20310,20400,15000,2
92129,3,3,6919,20240,20900,250,1
92130,1,23,691370,20310,20400,15000,2
92130,1,24,691620,20310,20400,15000,2
92130,1,25,695290,20310,20400,15000,2
92130,2,1,4000,20300,20700,450,1
92130,3,1,503,20250,20900,250,1
92130,4,3,6919,20240,20950,250,1
92130,5,1,31051,20230,21000,5250,2
92130,1,26,795290,20310,20400,15000,2
92130,1,27,895290,20310,20400,15000,2
92131,1,28,995290,20310,20400,15000,2
92131,1,29,1042453,20310,20400,15000,2
92131,1,30,1062453,20310,20400,15000,2
92131,1,31,1082030,20310,20400,15000,2
92131,1,32,1088284,20310,20400,15000,2
92131,1,33,1089284,20310,20400,15000,2
92131,1,35,1136781,20310,20400,15000,2
92131,1,36,1176781,20310,20400,15000,2
