time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,14254,10460,11350,10000,1
63938,2,2,24268,10450,11400,12760,2
63938,3,0,0,0,11480,1802,1
63938,4,0,0,0,11500,10000,1
63938,5,0,0,0,11520,500,1
84508,1,1,480,10470,11350,10000,1
84508,2,1,14254,10460,11400,12760,2
84508,3,2,24268,10450,11480,1802,1
84509,1,2,2702,10470,11350,10000,1
84511,1,2,2702,10470,10470,12343,1
84511,2,1,14254,10460,11350,10000,1
84511,3,2,24268,10450,11400,12760,2
84511,4,0,0,0,11480,1802,1
84511,5,0,0,0,11500,10000,1
84511,1,2,2702,10470,10470,48689,2
84518,1,2,2702,10470,10470,52113,3
84518,1,2,2702,10470,10470,58091,4
84518,1,2,2702,10470,10470,71003,5
84519,1,2,2702,10470,10470,101828,7
84519,1,2,2702,10470,10470,125123,10
84549,1,3,5202,10470,10470,125123,10
84611,1,4,10202,10470,10470,125123,10
84612,2,1,14254,10460,11300,10100,1
84612,3,2,24268,10450,11350,10000,1
84612,4,0,0,0,11400,12760,2
84612,5,0,0,0,11480,1802,1
84623,1,5,30202,10470,10470,125123,10
84626,1,6,40202,10470,10470,125123,10
84639,1,7,42539,10470,10470,125123,10
84651,2,1,14254,10460,10480,100000,1
84651,3,2,24268,10450,11300,10100,1
84651,4,0,0,0,11350,10000,1
84651,5,0,0,0,11400,12760,2
84729,3,2,24268,10450,11290,1000,1
84729,4,0,0,0,11300,10100,1
84729,5,0,0,0,11350,10000,1
84748,2,1,14254,10460,11290,1000,1
84748,3,2,24268,10450,11300,10100,1
84748,4,0,0,0,11350,10000,1
84748,5,0,0,0,11390,600,1
84754,2,1,14254,10460,11190,700,1
84754,3,2,24268,10450,11290,1000,1
84754,4,0,0,0,11300,10100,1
84754,5,0,0,0,11350,10000,1
84755,1,8,72539,10470,10470,125123,10
84832,1,9,73539,10470,10470,125123,10
84852,1,10,78539,10470,10470,125123,10
84919,1,11,98539,10470,10470,125123,10
84927,1,12,99539,10470,10470,125123,10
84944,1,13,100539,10470,10470,125123,10
85007,1,4,137500,10480,10480,125123,10
85007,2,10,63039,10470,11190,700,1
85007,3,1,14254,10460,11290,1000,1
85007,4,2,24268,10450,11300,10100,1
85014,3,1,14254,10460,11200,8000,1
85014,4,2,24268,10450,11290,1000,1
85014,5,0,0,0,11300,10100,1
85049,1,13,100539,10470,10470,125123,10
85049,2,1,14254,10460,11190,700,1
85049,3,2,24268,10450,11200,8000,1
85049,4,0,0,0,11290,1000,1
85106,2,1,14254,10460,11090,340,1
85106,3,2,24268,10450,11190,700,1
85106,4,0,0,0,11200,8000,1
85106,5,0,0,0,11290,1000,1
85150,1,14,110539,10470,10470,125123,10
85200,1,15,111019,10470,10470,125123,10
85209,1,16,113552,10470,10470,125123,10
85230,1,17,115552,10470,10470,125123,10
85236,1,18,117052,10470,10470,125123,10
85241,1,17,116052,10470,10470,125123,10
85306,1,18,119052,10470,10470,125123,10
85312,1,19,124052,10470,10470,125123,10
85324,1,18,121052,10470,10470,125123,10
85331,1,19,121997,10470,10470,125123,10
85352,1,20,151997,10470,10470,125123,10
85440,1,21,152520,10470,10470,125123,10
85448,1,22,153564,10470,10470,125123,10
85533,1,23,154564,10470,10470,125123,10
85556,5,0,0,0,11290,2000,2
85558,1,24,204564,10470,10470,125123,10
85617,1,25,205064,10470,10470,125123,10
85639,1,26,207564,10470,10470,125123,10
85659,1,27,208064,10470,10470,125123,10
85659,1,28,208914,10470,10470,125123,10
85830,1,29,209914,10470,10470,125123,10
85851,1,30,210414,10470,10470,125123,10
85923,1,31,211414,10470,10470,125123,10
85936,1,32,231414,10470,10470,125123,10
85936,1,10,188500,10490,10490,125123,10
85936,2,6,33425,10480,11090,340,1
85936,3,17,109489,10470,11190,700,1
85936,4,1,14254,10460,11200,8000,1
85936,5,2,24268,10450,11290,2000,2
85937,1,11,220142,10490,10490,125123,10
85943,1,9,126642,10630,10630,125123,10
85943,2,1,1000,10610,11090,340,1
85943,3,1,2500,10510,11190,700,1
85943,4,1,100000,10490,11200,8000,1
85943,5,6,33425,10480,11290,2000,2
85945,1,10,131042,10630,10630,125123,10
85949,1,8,170042,10680,10680,125123,10
85949,2,1,50000,10670,11090,340,1
85949,3,1,1000,10650,11190,700,1
85949,4,1,10000,10630,11200,8000,1
85949,5,1,1000,10610,11290,2000,2
85949,1,9,270042,10680,10680,125123,10
85954,5,1,1000,10610,11290,32000,3
85955,2,1,50000,10670,11020,7303,1
85955,3,1,1000,10650,11090,340,1
85955,4,1,10000,10630,11190,700,1
85955,5,1,1000,10610,11200,8000,1
85957,1,10,279442,10680,10680,125123,10
85958,1,11,279942,10680,10680,125123,10
90002,1,9,179442,10710,10710,125123,10
90002,2,1,500,10690,11020,7303,1
90002,3,2,200000,10680,11090,340,1
90002,4,1,50000,10670,11190,700,1
90002,5,1,1000,10650,11200,8000,1
90007,1,10,179942,10710,10710,125123,10
90008,1,8,177942,10720,10720,125123,10
90008,2,3,102000,10710,11020,7303,1
90008,3,1,500,10690,11090,340,1
90008,4,2,200000,10680,11190,700,1
90008,5,1,50000,10670,11200,8000,1
90009,1,9,277942,10720,10720,125123,10
90012,1,8,127942,10750,10750,125123,10
90012,2,2,200000,10720,11020,7303,1
90012,3,3,102000,10710,11090,340,1
90012,4,1,500,10690,11190,700,1
90012,5,2,200000,10680,11200,8000,1
90014,1,9,128442,10750,10750,125123,10
90016,1,10,133442,10750,10750,125123,10
90018,1,1,8319,10750,11020,7303,1
90018,2,2,200000,10720,11090,340,1
90018,3,3,102000,10710,11190,700,1
90018,4,1,500,10690,11200,8000,1
90018,5,2,200000,10680,11290,32000,3
90022,2,1,19834,10730,11090,340,1
90022,3,2,200000,10720,11190,700,1
90022,4,3,102000,10710,11200,8000,1
90022,5,1,500,10690,11290,32000,3
90028,3,1,100000,10720,11190,700,1
90029,3,3,102000,10710,11190,700,1
90029,4,1,500,10690,11200,8000,1
90029,5,2,200000,10680,11290,32000,3
90029,3,2,2000,10710,11190,700,1
90029,5,1,100000,10680,11290,32000,3
90029,5,1,50000,10670,11290,32000,3
90030,1,1,10901,11020,11090,340,1
90030,2,1,8319,10750,11190,700,1
90030,3,1,19834,10730,11200,8000,1
90030,4,2,2000,10710,11290,32000,3
90030,5,1,500,10690,11300,11100,2
90037,5,1,50000,10670,11300,11100,2
90037,4,1,1500,10710,11290,32000,3
90040,2,1,2000,10760,11190,700,1
90040,3,1,8319,10750,11200,8000,1
90040,4,1,19834,10730,11290,32000,3
90040,5,1,1500,10710,11300,11100,2
90043,4,1,1500,10710,11290,32000,3
90043,5,1,50000,10670,11300,11100,2
90045,1,1,10901,11020,11080,1500,1
90045,2,1,2000,10760,11090,340,1
90045,3,1,8319,10750,11190,700,1
90045,4,1,1500,10710,11200,8000,1
90045,5,1,50000,10670,11290,32000,3
90050,3,1,1500,10710,11190,700,1
90050,4,1,50000,10670,11200,8000,1
90050,5,1,1000,10650,11290,32000,3
90050,2,1,20000,10770,11090,340,1
90050,3,1,2000,10760,11190,700,1
90050,4,1,1500,10710,11200,8000,1
90050,5,1,50000,10670,11290,32000,3
90101,1,1,7901,11020,11080,1500,1
90107,4,1,10000,10750,11200,8000,1
90107,5,1,1500,10710,11290,32000,3
90107,1,1,7901,11020,11090,340,1
90107,2,1,20000,10770,11180,1500,1
90110,1,1,7401,11020,11090,340,1
90129,1,1,1401,11020,11090,340,1
90147,2,1,1811,11000,11180,1500,1
90147,3,1,20000,10770,11190,700,1
90147,4,1,2000,10760,11200,8000,1
90147,5,1,10000,10750,11290,32000,3
90153,3,1,5000,10780,11190,700,1
90153,4,1,20000,10770,11200,8000,1
90153,5,1,2000,10760,11290,32000,3
90154,1,1,1811,11000,11020,98599,1
90154,2,1,5000,10780,11090,340,1
90154,3,1,20000,10770,11180,1500,1
90154,4,1,2000,10760,11190,700,1
90154,5,1,10000,10750,11200,8000,1
90154,1,1,1811,11000,11020,103801,2
90209,2,1,5000,10790,11090,340,1
90209,3,1,5000,10780,11180,1500,1
90209,4,1,20000,10770,11190,700,1
90209,5,1,2000,10760,11200,8000,1
90306,1,1,1000,11010,11020,103801,2
90306,2,1,1811,11000,11090,340,1
90306,3,1,5000,10790,11180,1500,1
90306,4,1,5000,10780,11190,700,1
90306,5,1,20000,10770,11200,8000,1
90307,1,1,1000,11010,11020,3801,1
90311,3,1,5000,10800,11180,1500,1
90311,4,1,5000,10790,11190,700,1
90311,5,1,5000,10780,11200,8000,1
90315,1,1,1000,11010,11090,340,1
90315,2,1,1811,11000,11180,1500,1
90315,3,1,5000,10800,11190,700,1
90315,4,1,5000,10790,11200,8000,1
90315,5,1,5000,10780,11290,32000,3
90328,1,1,1811,11000,11010,23475,1
90328,2,1,5000,10800,11090,340,1
90328,3,1,5000,10790,11180,1500,1
90328,4,1,5000,10780,11190,700,1
90328,5,1,20000,10770,11200,8000,1
90344,1,1,5000,10800,11000,18189,1
90344,2,1,5000,10790,11010,23475,1
90344,3,1,5000,10780,11090,340,1
90344,4,1,20000,10770,11180,1500,1
90344,5,1,2000,10760,11190,700,1
90345,1,1,5000,10800,11010,22334,1
90345,2,1,5000,10790,11090,340,1
90345,3,1,5000,10780,11180,1500,1
90345,4,1,20000,10770,11190,700,1
90345,5,1,2000,10760,11200,8000,1
90346,1,1,1141,11010,11090,340,1
90346,2,1,5000,10800,11180,1500,1
90346,3,1,5000,10790,11190,700,1
90346,4,1,5000,10780,11200,8000,1
90346,5,1,20000,10770,11290,32000,3
90351,1,1,641,11010,11090,340,1
90405,2,1,1500,10810,11180,1500,1
90405,3,1,5000,10800,11190,700,1
90405,4,1,5000,10790,11200,8000,1
90405,5,1,5000,10780,11290,32000,3
90431,2,2,3500,10810,11180,1500,1
90432,2,2,3500,10810,11100,10100,1
90432,3,1,5000,10800,11180,1500,1
90432,4,1,5000,10790,11190,700,1
90432,5,1,5000,10780,11200,8000,1
90437,1,2,3500,10810,11000,359,1
90437,2,1,5000,10800,11090,340,1
90437,3,1,5000,10790,11100,10100,1
90437,4,1,5000,10780,11180,1500,1
90437,5,1,20000,10770,11190,700,1
90444,4,2,105000,10780,11180,1500,1
90454,1,1,545,11000,11090,340,1
90454,2,2,3500,10810,11100,10100,1
90454,3,1,5000,10800,11180,1500,1
90454,4,1,5000,10790,11190,700,1
90454,5,2,105000,10780,11200,8000,1
90500,3,2,25000,10800,11180,1500,1
90500,2,3,28500,10810,11100,10100,1
90502,2,1,50000,10820,11100,10100,1
90502,3,3,28500,10810,11180,1500,1
90502,4,2,25000,10800,11190,700,1
90502,5,1,5000,10790,11200,8000,1
90510,1,1,50000,10820,11000,9555,1
90510,2,3,28500,10810,11090,340,1
90510,3,2,25000,10800,11180,1500,1
90510,4,1,5000,10790,11190,700,1
90510,5,2,105000,10780,11200,8000,1
90511,3,1,20000,10800,11180,1500,1
90511,4,2,105000,10780,11190,700,1
90511,5,1,6000,10770,11200,8000,1
90511,4,1,100000,10780,11190,700,1
90511,3,1,100000,10780,11180,1500,1
90511,4,1,6000,10770,11190,700,1
90511,5,1,2000,10760,11200,8000,1
90521,1,1,39735,10830,11000,9555,1
90521,2,1,50000,10820,11090,340,1
90521,3,3,28500,10810,11180,1500,1
90521,4,1,100000,10780,11190,700,1
90521,5,1,6000,10770,11200,8000,1
90528,3,4,98500,10810,11180,1500,1
90532,1,1,39735,10830,11000,3555,1
90535,1,2,109735,10830,11000,3555,1
90543,1,1,30000,10840,11000,3555,1
90543,2,2,109735,10830,11090,340,1
90543,3,1,50000,10820,11180,1500,1
90543,4,4,98500,10810,11190,700,1
90543,5,1,100000,10780,11200,8000,1
90553,1,1,100000,10850,11000,3555,1
90553,2,1,30000,10840,11090,340,1
90553,3,2,109735,10830,11180,1500,1
90553,4,1,50000,10820,11190,700,1
90553,5,4,98500,10810,11200,8000,1
90555,2,2,30900,10840,11090,340,1
90556,1,2,104000,10850,11000,3555,1
90601,2,3,90900,10840,11090,340,1
90604,1,1,30000,10860,11000,3555,1
90604,2,2,104000,10850,11090,340,1
90604,3,2,60900,10840,11180,1500,1
90604,4,2,109735,10830,11190,700,1
90604,5,1,50000,10820,11200,8000,1
90613,1,1,30000,10860,11000,6555,2
90614,1,1,50000,10910,11000,6555,2
90614,2,1,30000,10860,11090,340,1
90614,3,2,104000,10850,11180,1500,1
90614,4,2,60900,10840,11190,700,1
90614,5,2,109735,10830,11200,8000,1
90618,2,1,4000,10870,11090,340,1
90618,3,1,30000,10860,11180,1500,1
90618,4,1,100000,10850,11190,700,1
90618,5,2,60900,10840,11200,8000,1
90635,1,1,50000,10910,11000,34555,3
90638,2,2,104000,10870,11090,340,1
90642,1,1,25445,11000,11090,340,1
90642,2,1,50000,10910,11180,1500,1
90642,3,2,104000,10870,11190,700,1
90642,4,1,30000,10860,11200,8000,1
90642,5,1,100000,10850,11220,25000,1
90720,2,2,52242,10910,11180,1500,1
90721,2,2,52242,10910,11180,6500,2
90738,5,1,100000,10850,11250,25000,1
90751,2,2,52242,10910,11170,456,1
90751,3,2,104000,10870,11180,6500,2
90751,4,1,30000,10860,11190,700,1
90751,5,1,100000,10850,11200,8000,1
90855,1,1,25445,11000,11180,6296,2
90855,2,2,52242,10910,11190,700,1
90855,3,2,104000,10870,11200,8000,1
90855,4,1,30000,10860,11250,25000,1
90855,5,1,100000,10850,11290,32000,3
90857,3,1,1000,10880,11200,8000,1
90857,4,2,104000,10870,11250,25000,1
90857,5,1,30000,10860,11290,32000,3
90905,1,2,39003,11000,11180,6296,2
90913,1,1,12251,11010,11180,6296,2
90913,2,2,39003,11000,11190,700,1
90913,3,2,52242,10910,11200,8000,1
90913,4,1,1000,10880,11250,25000,1
90913,5,2,104000,10870,11290,32000,3
90928,1,1,12251,11010,11190,700,1
90928,2,2,39003,11000,11200,8000,1
90928,3,2,52242,10910,11250,25000,1
90928,4,1,1000,10880,11290,32000,3
90928,5,2,104000,10870,11300,26000,2
90931,1,1,9000,11180,11190,700,1
90931,2,1,12251,11010,11200,8000,1
90931,3,2,39003,11000,11250,25000,1
90931,4,2,52242,10910,11290,32000,3
90931,5,1,1000,10880,11300,26000,2
90935,2,2,12911,11010,11200,8000,1
90939,1,1,7000,11180,11190,700,1
90941,2,1,12251,11010,11200,8000,1
90949,2,2,39003,11000,11200,8000,1
90949,3,2,52242,10910,11250,25000,1
90949,4,1,1000,10880,11290,32000,3
90949,5,2,103000,10870,11300,26000,2
90957,1,2,7650,11180,11190,700,1
91003,4,1,1000,10880,11290,2000,2
91008,2,3,41227,11000,11200,8000,1
91008,3,1,50000,10910,11250,25000,1
91008,1,2,5758,11180,11190,700,1
91016,2,1,43000,11010,11200,8000,1
91016,3,3,41227,11000,11250,25000,1
91016,4,1,50000,10910,11290,2000,2
91016,5,1,1000,10880,11300,26000,2
91021,1,1,43000,11010,11180,683,1
91021,2,3,41227,11000,11190,700,1
91021,3,1,50000,10910,11200,8000,1
91021,4,1,1000,10880,11250,25000,1
91021,5,2,103000,10870,11290,2000,2
91053,4,1,1000,10880,11290,2000,2
91053,5,2,103000,10870,11300,26000,2
91058,1,1,12240,11020,11180,683,1
91058,2,1,43000,11010,11190,700,1
91058,3,3,41227,11000,11200,8000,1
91058,4,1,50000,10910,11290,2000,2
91058,5,1,1000,10880,11300,26000,2
91106,1,1,12240,11020,11170,1000,1
91106,2,1,43000,11010,11180,683,1
91106,3,3,41227,11000,11190,700,1
91106,4,1,50000,10910,11200,8000,1
91106,5,1,1000,10880,11290,2000,2
91124,1,1,700,11030,11170,1000,1
91124,2,1,12240,11020,11180,683,1
91124,3,1,43000,11010,11190,700,1
91124,4,3,41227,11000,11200,8000,1
91124,5,1,50000,10910,11290,2000,2
91127,1,2,30700,11030,11170,1000,1
91129,2,1,12240,11020,11180,6683,2
91133,2,2,14460,11020,11180,6683,2
91133,4,2,39003,11000,11200,8000,1
91147,2,2,14460,11020,11180,13683,3
91149,2,2,14460,11020,11180,7683,2
91150,1,2,30700,11030,11170,2500,2
91154,1,2,30700,11030,11170,3356,3
91220,1,2,30700,11030,11170,1856,2
91220,5,1,50000,10910,11290,3500,3
91252,1,3,35700,11030,11170,1856,2
91319,1,1,98144,11170,11180,7683,2
91319,2,3,35700,11030,11190,700,1
91319,3,2,14460,11020,11200,8000,1
91319,4,1,43000,11010,11290,3500,3
91319,5,2,39003,11000,11300,26000,2
91321,3,1,2220,11020,11200,8000,1
91326,2,1,43000,11040,11190,700,1
91326,3,3,35700,11030,11200,8000,1
91326,4,1,2220,11020,11290,3500,3
91327,1,1,97144,11170,11180,7683,2
91350,5,3,44003,11000,11300,26000,2
91351,2,1,12641,11050,11190,700,1
91351,3,1,43000,11040,11200,8000,1
91351,4,3,35700,11030,11290,3500,3
91351,5,1,2220,11020,11300,26000,2
91401,3,1,43000,11040,11200,8700,2
91402,2,2,13141,11050,11190,700,1
91414,2,1,100000,11060,11190,700,1
91414,3,2,13141,11050,11200,8700,2
91414,4,1,43000,11040,11290,3500,3
91414,5,3,35700,11030,11300,26000,2
91423,1,1,96444,11170,11180,7683,2
91431,1,1,96444,11170,11180,4666,1
91451,1,1,96444,11170,11180,5141,2
91451,1,1,8583,11180,11190,700,1
91451,2,1,96444,11170,11200,8700,2
91451,3,1,100000,11060,11290,3500,3
91451,4,2,13141,11050,11300,26000,2
91451,5,1,43000,11040,11350,85860,3
91453,1,1,7532,11180,11190,700,1
91453,1,2,12532,11180,11190,700,1
91456,1,1,1299,11190,11200,8700,2
91456,2,2,12532,11180,11290,3500,3
91456,3,1,96444,11170,11300,26000,2
91456,4,1,100000,11060,11350,85860,3
91456,5,2,13141,11050,11390,1600,2
91458,5,1,500,11050,11390,1600,2
91511,2,1,5000,11180,11290,3500,3
91514,1,1,299,11190,11200,8700,2
91520,1,1,5000,11180,11190,343,1
91520,2,1,96444,11170,11200,8700,2
91520,3,1,100000,11060,11290,3500,3
91520,4,1,500,11050,11300,26000,2
91520,5,1,43000,11040,11350,85860,3
91521,1,1,5000,11180,11200,1524,2
91521,2,1,96444,11170,11290,3500,3
91521,3,1,100000,11060,11300,26000,2
91521,4,1,500,11050,11350,85860,3
91521,5,1,43000,11040,11390,1600,2
91521,1,1,10948,11200,11290,3500,3
91521,2,1,5000,11180,11300,26000,2
91521,3,1,96444,11170,11350,85860,3
91521,4,1,100000,11060,11390,1600,2
91521,5,1,500,11050,11400,43760,4
91521,1,1,10448,11200,11290,3500,3
91522,1,2,10948,11200,11290,3500,3
91522,5,1,43000,11040,11400,43760,4
91527,2,1,5000,11180,11300,25000,1
91538,4,1,43000,11040,11390,1600,2
91538,5,4,38100,11030,11400,43760,4
91539,1,1,500,11210,11290,3500,3
91539,2,1,10448,11200,11300,25000,1
91539,3,1,5000,11180,11350,85860,3
91539,4,1,96444,11170,11390,1600,2
91539,5,1,43000,11040,11400,43760,4
91545,1,1,500,11210,11290,2200,2
91550,1,1,500,11210,11290,5700,3
91554,1,1,500,11210,11290,9200,4
91555,1,1,9948,11200,11290,9200,4
91555,2,1,5000,11180,11300,25000,1
91555,3,1,96444,11170,11350,85860,3
91555,4,1,43000,11040,11390,1600,2
91555,5,4,38100,11030,11400,43760,4
91556,4,1,30000,11050,11390,1600,2
91556,5,1,43000,11040,11400,43760,4
91559,1,1,9948,11200,11210,2000,1
91559,2,1,5000,11180,11290,9200,4
91559,3,1,96444,11170,11300,25000,1
91559,4,1,30000,11050,11350,85860,3
91559,5,1,43000,11040,11390,1600,2
91604,1,1,6448,11200,11210,2000,1
91609,1,2,10001,11200,11210,2000,1
91613,1,2,10001,11200,11210,4000,2
91616,1,2,10001,11200,11210,2000,1
91616,1,1,28000,11210,11290,9200,4
91616,2,2,10001,11200,11300,25000,1
91616,3,1,5000,11180,11350,85860,3
91616,4,1,96444,11170,11390,1600,2
91616,5,1,43000,11040,11400,43760,4
91617,5,1,100000,11060,11400,43760,4
91623,1,2,32000,11210,11290,9200,4
91625,1,2,27497,11210,11290,9200,4
91625,1,2,27497,11210,11290,18400,5
91627,2,3,20001,11200,11300,25000,1
91627,1,2,14497,11210,11290,18400,5
91629,1,2,12497,11210,11290,18400,5
91635,1,1,2497,11210,11290,18400,5
91635,1,3,20001,11200,11290,18400,5
91635,2,1,5000,11180,11300,25000,1
91635,3,1,96444,11170,11350,85860,3
91635,4,1,100000,11060,11390,1600,2
91635,5,1,43000,11040,11400,43760,4
91636,1,3,20001,11200,11210,1000,1
91636,2,1,5000,11180,11290,18400,5
91636,3,1,96444,11170,11300,25000,1
91636,4,1,100000,11060,11350,85860,3
91636,5,1,43000,11040,11390,1600,2
91642,4,1,100000,11060,11340,20000,1
91642,5,1,43000,11040,11350,85860,3
91658,1,1,64805,11210,11290,18400,5
91658,2,3,20001,11200,11300,25000,1
91658,3,1,5000,11180,11340,20000,1
91658,4,1,96444,11170,11350,85860,3
91658,5,1,100000,11060,11390,1600,2
91702,5,1,100000,11060,11390,21600,3
91709,1,1,3550,11220,11290,18400,5
91709,2,1,64805,11210,11300,25000,1
91709,3,2,16448,11200,11340,20000,1
91709,4,1,5000,11180,11350,85860,3
91709,5,1,96444,11170,11390,21600,3
91711,1,1,3550,11220,11290,5153,1
91721,1,1,3550,11220,11280,800,1
91721,2,1,64805,11210,11290,5153,1
91721,3,2,16448,11200,11300,25000,1
91721,4,1,5000,11180,11340,20000,1
91721,5,1,96444,11170,11350,85860,3
91727,2,2,16448,11200,11290,5153,1
91727,3,1,5000,11180,11300,25000,1
91727,4,1,96444,11170,11340,20000,1
91727,5,1,100000,11060,11350,85860,3
91732,3,1,5000,11180,11340,20000,1
91732,4,1,96444,11170,11350,85860,3
91732,5,1,100000,11060,11390,21600,3
91737,1,1,3070,11220,11280,800,1
91748,3,1,5000,11180,11340,20600,2
91800,1,2,3956,11220,11280,800,1
91802,1,1,56,11220,11280,800,1
91810,1,2,16448,11200,11220,1944,1
91810,2,1,5000,11180,11280,800,1
91810,3,1,96444,11170,11290,5153,1
91810,4,1,100000,11060,11340,20600,2
91810,5,1,43000,11040,11350,85860,3
91813,1,2,16448,11200,11220,1444,1
91828,1,1,65798,11220,11280,800,1
91828,2,2,16448,11200,11290,5153,1
91828,3,1,5000,11180,11340,20600,2
91828,4,1,96444,11170,11350,85860,3
91828,5,1,100000,11060,11390,21600,3
91831,1,1,63798,11220,11280,800,1
91843,5,1,50000,11070,11390,21600,3
91931,1,1,800,11280,11290,5153,1
91931,2,1,63798,11220,11340,20600,2
91931,3,2,16448,11200,11350,85860,3
91931,4,1,5000,11180,11390,21600,3
91931,5,1,96444,11170,11400,50760,5
91951,1,1,198,11280,11290,5153,1
92000,3,1,6448,11200,11350,85860,3
92002,2,1,63798,11220,11330,1000,1
92002,3,1,6448,11200,11340,20600,2
92002,4,1,5000,11180,11350,85860,3
92002,5,1,96444,11170,11390,21600,3
92006,1,1,63798,11220,11280,302,1
92006,2,1,6448,11200,11290,5153,1
92006,3,1,5000,11180,11330,1000,1
92006,4,1,96444,11170,11340,20600,2
92006,5,1,50000,11070,11350,85860,3
92027,1,1,33798,11220,11280,302,1
92045,1,1,2000,11230,11280,302,1
92045,2,1,33798,11220,11290,5153,1
92045,3,1,6448,11200,11330,1000,1
92045,4,1,5000,11180,11340,20600,2
92045,5,1,96444,11170,11350,85860,3
92100,1,1,2000,11230,11280,1811,2
92100,1,1,2000,11230,11270,1000,1
92100,2,1,33798,11220,11280,1811,2
92100,3,1,6448,11200,11290,5153,1
92100,4,1,5000,11180,11330,1000,1
92100,5,1,96444,11170,11340,20600,2
92109,3,2,8798,11200,11290,5153,1
92124,2,1,33798,11220,11280,2811,3
92128,1,1,2000,11230,11270,1100,2
92130,1,1,491,11230,11270,1100,2
92130,2,1,33798,11220,11280,1302,2
92144,1,2,20491,11230,11270,1100,2
92146,1,1,19991,11230,11270,1100,2
92154,1,2,24991,11230,11270,1100,2
92210,1,2,24991,11230,11290,5153,1
92210,2,1,33798,11220,11330,1000,1
92210,3,2,8798,11200,11340,20600,2
92210,4,1,5000,11180,11350,85860,3
92210,5,1,96444,11170,11390,21600,3
92212,1,2,24991,11230,11260,1000,1
92212,2,1,33798,11220,11290,5153,1
92212,3,2,8798,11200,11330,1000,1
92212,4,1,5000,11180,11340,20600,2
92212,5,1,96444,11170,11350,85860,3
92221,1,2,24991,11230,11290,5153,1
92221,2,1,33798,11220,11330,1000,1
92221,3,2,8798,11200,11340,20600,2
92221,4,1,5000,11180,11350,85860,3
92221,5,1,96444,11170,11390,21600,3
92232,1,2,24991,11230,11330,1000,1
92232,2,1,33798,11220,11340,20600,2
92232,3,2,8798,11200,11350,85860,3
92232,4,1,5000,11180,11390,21600,3
92232,5,1,96444,11170,11400,50760,5
92234,4,1,5000,11180,11390,22602,4
92248,1,1,5000,11240,11330,1000,1
92248,2,2,24991,11230,11340,20600,2
92248,3,1,33798,11220,11350,85860,3
92248,4,2,8798,11200,11390,22602,4
92248,5,1,5000,11180,11400,50760,5
92256,5,1,5000,11180,11400,43760,4
92258,3,2,8798,11200,11350,85860,3
92258,4,1,5000,11180,11390,22602,4
92258,5,1,96444,11170,11400,43760,4
92300,1,1,5000,11240,11300,100000,1
92300,2,2,24991,11230,11330,1000,1
92300,3,2,8798,11200,11340,20600,2
92300,4,1,5000,11180,11350,85860,3
92300,5,1,96444,11170,11390,22602,4
92300,1,1,5000,11240,11300,200000,2
92301,1,2,10000,11240,11300,200000,2
92306,1,1,500,11250,11300,200000,2
92306,2,2,10000,11240,11330,1000,1
92306,3,2,24991,11230,11340,20600,2
92306,4,2,8798,11200,11350,85860,3
92306,5,1,5000,11180,11390,22602,4
92307,1,2,3500,11250,11300,200000,2
92307,3,1,19991,11230,11340,20600,2
92317,1,2,3500,11250,11300,199119,2
92351,1,2,3500,11250,11300,187658,2
92409,1,2,3500,11250,11300,189852,3
92412,1,2,3500,11250,11290,800,1
92412,2,2,10000,11240,11300,189852,3
92412,3,1,19991,11230,11330,1000,1
92412,4,2,8798,11200,11340,20600,2
92412,5,1,5000,11180,11350,85860,3
92413,1,2,3500,11250,11290,85659,2
92433,1,2,3500,11250,11280,500,1
92433,2,2,10000,11240,11290,85659,2
92433,3,1,19991,11230,11300,189852,3
92433,4,2,8798,11200,11330,1000,1
92433,5,1,5000,11180,11340,20600,2
92441,1,1,430,11280,11290,85659,2
92441,2,2,3500,11250,11300,189852,3
92441,3,2,10000,11240,11330,1000,1
92441,4,1,19991,11230,11340,20600,2
92441,5,2,8798,11200,11350,85860,3
92452,1,2,3500,11250,11280,1764,1
92452,2,2,10000,11240,11290,85659,2
92452,3,1,19991,11230,11300,187658,2
92452,4,2,8798,11200,11330,1000,1
92452,5,1,5000,11180,11340,20600,2
92455,1,1,500,11250,11280,1764,1
92535,1,1,70,11250,11280,1764,1
92543,1,1,70,11250,11280,3764,2
92554,4,2,8798,11200,11320,6000,1
92554,5,1,5000,11180,11330,1000,1
92557,1,1,70,11250,11270,500,1
92557,2,2,10000,11240,11280,3764,2
92557,3,1,19991,11230,11290,85659,2
92557,4,2,8798,11200,11300,187658,2
92557,5,1,5000,11180,11320,6000,1
92614,1,2,10000,11240,11250,388,1
92614,2,1,19991,11230,11270,500,1
92614,3,2,8798,11200,11280,3764,2
92614,4,1,5000,11180,11290,85659,2
92614,5,1,96444,11170,11300,187658,2
92615,1,1,19991,11230,11250,388,1
92615,2,2,8798,11200,11270,500,1
92615,3,1,5000,11180,11280,3764,2
92615,4,1,96444,11170,11290,85659,2
92615,5,1,50000,11070,11300,187658,2
92626,2,2,8798,11200,11280,3764,2
92626,3,1,5000,11180,11290,85659,2
92626,4,1,96444,11170,11300,187658,2
92626,5,1,50000,11070,11320,6000,1
92645,1,1,100,11250,11280,3764,2
92645,2,1,19991,11230,11290,85659,2
